web-scraper-order,web-scraper-start-url,event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
1527238629-72,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/05/200x160cm-2017-2018----------------.jpg,Galería Miguel Marcos,,http://www.artbarcelona.es/es/exposiciones/la-poesia-superviviente/,Luo Min  罗敏,,15.05.18 – 29.06.18,Galería Miguel Marcos,La Poesía Superviviente,"La Galería Miguel Marcos se complace en invitarles a la exposición monográfica “La Poesía Superviviente” de la pintora Luo Min (Sichuan, China 1968), quien por primera vez expone en Barcelona, después de su reciente participación en la edición 2018 de ARCOMadrid.
Del 15 de mayo al 29 de Junio de 2018, la artista exhibe una selección de obras de reciente creación, que permitirá al visitante ver y comprender como es la pintura contemporánea china.
En comparación con la tradición pictórica occidental, que prioriza la perspectiva y el punto de fuga, la pintura china utiliza la forma como modo de representación de la espiritualidad. Los trabajos de Luo Min no pueden contemplarse desde la visión del arte figurativo, sino desde el plano de la sugestión.
Al igual que sucede con la poesía china, la pintura tradicional plasma la experiencia del pintor, su conocimiento de la sociedad, así como sus ideales y principios. Los significados que se esconden en el ámbito pictórico chino son de gran profundidad emotiva, una cualidad que define con precisión la pintura del Luo Min: tradicionalmente contemporánea, en la que utiliza los parámetros clásicos para recuperar su “yo”, reivindicando a la vez, su particular visión, a través de una vibración sutil y expresiva, tan coetánea como reivindicativa de su identidad cultural y social, orientando toda su maestría pictórica al servicio de la emoción y de la cotidianidad del día a día.
El espectador que contempla la delicadeza, la profundidad y la tranquilidad infinita, que expresa la obra de esta artista china, a través de un denso cromatismo y un intenso juego lumínico, observará también particularidades de su carácter, ya que se trata de una persona serena, discreta y generosa. Los temas que aborda en sus cuadros son variados, pero tienen un punto en común: una profunda reflexión sobre la vida, tratada desde una perspectiva femenina.
Buena parte de las obras expuestas se basan en los poemas del gran maestro chino Zhengming Wen / 文徵明 (1470-1559), uno de los grandes poetas clásicos del país.
Esta es la traducción al castellano de uno de sus poemas, perteneciente a la serie ¨Flores caídas¨ que aparece en una de las obras:
Las flores de colores, como el amor que vuela, ligeras, caen en silencio.
Los finos pastos brillan con la luz del sol, y se mecen con el viento que exhala a lo lejos.
El lago está lleno del agua dulce, con las lágrimas de los amantes.
Si el dueño diera valor, la belleza no se iría.
 
飞如有恋堕无声，曲砌斜视看得盈；细草栖秀朱点染, 晴丝撩片玉轻明。
江风漂泊明妃泪, 绿葉差池杜牧情；赖是主人能爱惜，不曾缘客扫紫荆。
 
 
Dejándose influir por los versos del gran poeta, Luo Min consigue desvelarnos a través de su pintura, ese hermetismo inherente de unos versos, con cadencias y rimas casi incomprensibles para el lector occidental, pero que ella traslada a su pintura, enseñándonos a adorar y valorar las pequeñas cosas, los matices, la esencia…
Luo Min se graduó en la Universidad Normal del Suroeste de China y obtuvo el master en arte en la Academia de Bellas Artes del Ejército Popular de Liberación. Actualmente, trabaja y vive entre Beijing y Chengdu, China, habiendo realizado numerosas exposiciones en países asiáticos y europeos.",null,null,null,http://www.artbarcelona.es/es/exposiciones/la-poesia-superviviente/
1527238626-54,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/05/Zarzas-y-trazos-sobre-Piero-della-Francesca-2017-2018-Creta-y-aguada-sobre-papel-vegetal-2055-x-164-cm.jpg,Galería Marlborough,,,Julio Vaquero,24.05.18 – 23.06.18,24.05.18 – 23.06.18,Galería Marlborough,MUSEO ROBADO,,null,null,null,http://www.artbarcelona.es/es/exposiciones/museo-robado/
1527238683-89,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/05/Zarzas-y-trazos-sobre-Piero-della-Francesca-2017-2018-Creta-y-aguada-sobre-papel-vegetal-2055-x-164-cm.jpg,Galería Marlborough,,http://www.artbarcelona.es/es/exposiciones/museo-robado/,Julio Vaquero,,24.05.18 – 23.06.18,Galería Marlborough,MUSEO ROBADO,"Julio Vaquero estrena exposición individual en Marlborough Barcelona con una muestra de una belleza inquietante
Del 24 de mayo al 23 de junio se podrán admirar las obras más recientes del artista barcelonés
Las pinturas de Julio Vaquero (Barcelona, 1958) se han caracterizado durante los últimos años por una representación muy personal de elementos en apariencia banales. En esta muestra, el artista da un paso más en su gradual ruptura con la descripción meramente realista y nos presenta una serie de obras que giran la mirada hacia su mundo de origen. Mediante la ingeniosa y singular técnica que combina creta y aguada, Julio Vaquero crea unas escenas donde la decadencia de las reliquias artísticas queda diluida en algunos casos por la aparición de unas presencias inquietantes. Sumado a esto, las referencias al imaginario pop convierten las creaciones de este artista en un emblema del arte contemporáneo más fresco y transgresor.
Julio Vaquero se licencia en la Facultad de Bellas Artes de Sant Jordi de Barcelona en 1979, donde es galardonado con el premio Joan Güell de pintura. En el año 1987 expone en Barcelona por primera vez  inicia una carrera como artista que lo llevará a ser premiado con la Medalla de Honor del premio BMW de pintura en dos ocasiones, en 1994 y en 1996. En el año 1999 una de sus obras es incluida en la exposición que el Centre Arts Santa Mònica dedica a la pintura realista en Cataluña. Repetirá en 2011 con la instalación El final de las apariencias.
Ha expuesto individualmente en España, Italia y los Estados Unidos y su obra ha estado presente en multitud de ferias internacionales como Art Brussels, ARCO, LA Art Show o Arte Fiera.
Algunas de sus exposiciones más recientes han sido en la Galería Torbadena, Trieste (2016), Visiones de la realidad en la Fundación Caja Canarias, Tenerife (2014), Buscar en tierra de nadie en la Fundación Privada Vilacasas, Barcelona (2013) y De luces mixtas en la Galería Marlborough Madrid, Madrid (2011). Paralelamente, su bagaje y sus conocimientos pictóricos le han llevado a participar como conferenciante en diversos centros artísticos y universidades. Asimismo, colabora asesorando a medios y entidades culturales del país.
La obra de Julio Vaquero forma parte de colecciones tan reconocidas como la Colección Editorial Planeta (Barcelona), Colección Testimonio de La Caixa (Barcelona),  la Colección Hesperia (Barcelona), la Fundación Privada Vilacasas (Barcelona), la Fundación Sorigué (Lleida) o la Colección Barilla (Parma).",null,null,null,http://www.artbarcelona.es/es/exposiciones/museo-robado/
1527238626-68,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/05/SpaceColor_B_01_205x165cm.jpg,Galería Carles Taché,,,Guillermo Pfaff,17.05.18 – 07.07.18,17.05.18 – 07.07.18,Galería Carles Taché,Over Easy,,null,null,null,http://www.artbarcelona.es/es/exposiciones/over-easy/
1527238649-78,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/05/artbarcelona.jpg,Galería Eude,,http://www.artbarcelona.es/es/exposiciones/obra-grafica-original-homenaje-a-edicions-berto/,"Ansesa, Arranz Bravo, Casanoves, Ferran, Guinovart, Maxart, Ràfols Casamada, Riera i Aragó, Gerard Sala, Tharrats, Vayreda",,03.05.18 – 15.09.18,Galería Eude,Obra gráfica original. Homenaje a Edicions Bertó,"El objetivo de esta exposición es homenajear al editor Joaquim Gelabertó y destacar la importancia de la obra gráfica en sus variantes técnicas.
Las Ediciones Bertó (1979-2000) fueron posibles gracias a la idea y el impulso de Joaquim Gelabertó Vilagran (1943-2001), gran apasionado por la obra gráfica original. Estableció una profunda relación y colaboración con los artistas que participaron en su proyecto. Cada obra se planteaba con el máximo de rigor e inventiva:
· Papeles hechos a mano con un gramaje y una textura diferentes para cada edición.
· Técnicas diferentes de estampación aplicadas a la vegada en cada papel.
· Intervenciones de pintura antes y después de las tiradas.
El objetiu de nuestra exposición es destacar la importancia de la obra gráfica en sus diferentes variantes y técnicas, a través de algunos de los mejores artistas grabadores del ámbito catalán, realizadas gracias a la pasión de JoaquimGelabartó.
Remarcamos:
· El papel: Papel comercial hecho a fabricas: papel Arches hechos a mano en los siguientes lugares: Molino de Gelida, Can Oliver y Papel Acuario
· Las diferentes técnicas de estampación: aguafuerte, aiguatinta, acuarela, carborúndum, collagraph, litografía, punta seca, resinas, serigrafía, silicona...
La exposición está presentada en 4 espacios diferentes, donde las obras de los artistasconversan y se comunican.",null,null,null,http://www.artbarcelona.es/es/exposiciones/obra-grafica-original-homenaje-a-edicions-berto/
1527238640-75,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/05/SpaceColor_B_01_205x165cm.jpg,Galería Carles Taché,,http://www.artbarcelona.es/es/exposiciones/over-easy/,Guillermo Pfaff,,17.05.18 – 07.07.18,Galería Carles Taché,Over Easy,"Espacio Azul
La Galeria Carles Taché tiene el placer de presentar a partir del 17 de mayo hasta el 7 de julio la tercera exposición individual del artista catalán Guillermo Pfaff.

La muestra titulada ‘Over Easy’ constará de pinturas de pequeño, mediano y gran formato realizadas este último año. La inauguración contará con la presencia del artista.

De superficie limpia y fina las pinturas de Pfaff aluden al verso y reverso del espacio pictórico. ‘Over Easy’ (expresión anglosajona de tradición culinaria) hace referencia a la técnica que se utiliza para realizar un huevo frito.",null,null,null,http://www.artbarcelona.es/es/exposiciones/over-easy/
1527238694-91,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/05/sculpture_986_Z_8-633x475.jpg,Galería Carles Taché,,http://www.artbarcelona.es/es/exposiciones/revelaciones/,Javier Pérez,,24.05.18 – 01.09.18,Galería Carles Taché,Revelaciones,"Espacio Rojo
La Galería Carles Taché tiene el placer de presentar la exposición “Revelaciones” del artista Javier Pérez. La muestra agrupa parte de su producción más reciente, que incluye esculturas y dibujos, piezas en su mayoría inéditas en España.
Con una particular visión cíclica del tiempo, en la que la vida y la muerte son solo dos estadios dentro de la permanente transformación, Javier Pérez enfatiza y desafía poéticamente la frágil línea entre conceptos paradigmáticamente antitéticos como atracción y rechazo, interior y exterior, opacidad y transparencia, carnalidad y espiritualidad, o vida y muerte, invadiendo el espacio expositivo con una perturbadora e inquietante, aunque no por ello menos esperanzadora, carga de fragilidad.
""El tiempo es la sustancia de la que estoy hecho. El tiempo es un río que me lleva, pero yo soy el río” escribió Jorge Luís Borges. Javier Pérez parece recoger el mensaje y entregarse también al flujo vital de la Naturaleza como medio para evidenciar y mostrar sus inquietudes y reflexiones acerca del paso del tiempo. ""Me interesa la ambigüedad que muestran ciertas formas. Existe una familiaridad entre lo animal y lo vegetal; ambas están determinadas por la misma ley implacable: solo existen en un estado de transformación constante” nos dice Javier Pérez.
Híbridos de formas imposibles y ramajes aparentemente yermos configuran las series de bronces Vida latente (2016) y Brotes I-II-III (2017), en las que lo vegetal, lo animal y lo mineral se fusionan para mostrarse sin pudor como portadores de vida latente.
Ramas de melocotoneros, de estoicos olivos o de almendros en flor, brotan de corazones palpitantes en una violenta explosión de vida renovada, poniendo en evidencia, al igual que en la serie de dibujos Fuentes de vida (2016), la transitoriedad de todo ser vivo, así como su  responsabilidad y compromiso durante ese corto y fugaz tránsito
Madre (2014) trata sobre la estrecha e íntima conexión entre la vida y la muerte. La madre rodea con un abnegado y tierno abrazo el cuerpo inerte de su hijo, inclinándose y cubriéndolo de forma protectora con su propia piel/placenta en forma de manto. No obstante, en este caso, la madre no es la dadora de vida, sino la propia encarnación de la muerte. En una lectura revisitada de la iconografía religiosa, la Madre, como en un parto invertido, recoge y acoge en sus entrañas aquello que le fue negado en el momento de la concepción.
La muestra escultórica se completa con Un solo latido (2015), una metáfora sobre el deseo y la vulnerabilidad del ser humano ante el amor o el desamor y Máscara de seducción (2008) con la que el artista interpela al espectador cuestionando los conceptos de identidad y otredad.
El dibujo ha sido una disciplina constante en la trayectoria artística de Javier Pérez y sus creaciones forman parte de importantes colecciones de prestigio internacional, entre ellas la del Centre Pompidou con más de un centenar de sus dibujos. En palabras del artista:

“…el lápiz es más fino que un pelo, debe funcionar por acumulación. Gesto obsesivo y primario que recuerda a los gusanos de seda envolviéndose para crear volúmenes que se cierran. Nos encontramos así ante un interior misterioso en plena metamorfosis. Me gusta acercarme a esas perfecciones de la naturaleza, aunque se conviertan en un acto sofisticado…”.
Las series Lapsus (2017), Revelaciones II (2017) y Revelaciones III (2018) son un desafío a su propio estado físico y emocional: tinta aguda, penetrante y ligera, papel empapado hasta la médula, gesto insistente, obsesivo, desliz inmediato surgiendo del subconsciente, sin interrupción, en horizontal, en estado meditativo y cerca del suelo como rastreando entre sus propias obsesiones.
Los dibujos se van configurando a modo de “pneumogramas” musicales, partituras en las que  la armonía viene dada por la multiplicación y superposición de capas y el ritmo por la frecuencia acompasada de su respiración hasta la aparición orgánica de melodías aleatorias.
 
Javier Pérez (Bilbao, 1968) es uno de los artistas contemporáneos con mayor proyección internacional de su generación.
Tras su paso por la Facultad de Bellas Artes de la Universidad del País Vasco (UPV/EHU) y la École Nationale Supérieure des Beaux-Arts de París (ENSBA) –ciudad donde fija su residencia entre los años 1992 y 1997– Javier Pérez irrumpe con fuerza en el escenario artístico internacional con su primera muestra individual en la Galería Chantal Crousel de París en el año 1996 y, un año más tarde, con su primera exposición museística en el Musée d'Art Moderne et Contemporain de Strasbourg.
Sus obras se caracterizan por un cierto sincretismo, tanto por los procedimientos como por los materiales utilizados. Escultura, fotografía, dibujo, video y performance se utilizan de manera independiente y en conjunto para crear instalaciones en las que la interacción y la exploración son esenciales.
La instalación es uno de los grandes formatos habituales en su trayectoria artística. En el año 2001 representa a España en la 49th International Art Exhibition La Biennale di Venezia, con la instalación Un pedazo de cielo cristalizado. En el año 2004 realiza la instalación Mutaciones en el Palacio de Cristal, Museo Nacional Centro de Arte Reina Sofía, Madrid. En 2009 presenta Lamentaciones en el Claustro de la Catedral de Burgos y en 2012 realiza El Carrusel del tiempo para la Karl-Böhn Saal por encargo del Festival de Salzburg.
Su trabajo forma parte de importantes colecciones como el Museo Guggenheim Bilbao, el Museo Nacional Centro de Arte Reina Sofía o el Centre Pompidou.
Javier Pérez vive y trabaja en Barcelona.",null,null,null,http://www.artbarcelona.es/es/exposiciones/revelaciones/
1527238626-65,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/05/artbarcelona.jpg,Galería Eude,,,"Ansesa, Arranz Bravo, Casanoves, Ferran, Guinovart, Maxart, Ràfols Casamada, Riera i Aragó, Gerard Sala, Tharrats, Vayreda",03.05.18 – 15.09.18,03.05.18 – 15.09.18,Galería Eude,Obra gráfica original. Homenaje a Edicions Bertó,,null,null,null,http://www.artbarcelona.es/es/exposiciones/obra-grafica-original-homenaje-a-edicions-berto/
1527238626-52,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/05/sculpture_986_Z_8-633x475.jpg,Galería Carles Taché,,,Javier Pérez,24.05.18 – 01.09.18,24.05.18 – 01.09.18,Galería Carles Taché,Revelaciones,,null,null,null,http://www.artbarcelona.es/es/exposiciones/revelaciones/
1527238626-71,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/05/200x160cm-2017-2018----------------.jpg,Galería Miguel Marcos,,,Luo Min  罗敏,15.05.18 – 29.06.18,15.05.18 – 29.06.18,Galería Miguel Marcos,La Poesía Superviviente,,null,null,null,http://www.artbarcelona.es/es/exposiciones/la-poesia-superviviente/
