event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
"http://www.artbarcelona.es/wp-content/uploads/2015/09/Dues-formes-de-vern--s_web-Art-barcelona.jpg","Galería Toni Tàpies","","","Antoni Tàpies","18.06.15 – 30.09.15","18.06.15 – 30.09.15","Galería Toni Tàpies","Tàpies. Obra sobre papel","","null","null","null","http://www.artbarcelona.es/es/exposiciones/tapies-obra-sobre-papel/"
"http://www.artbarcelona.es/wp-content/uploads/2015/07/NICOLAI-SIN-TITULO-CARA-2-OLEO-SOBRE-LIENZO-100X100CM-artbarcelona1.jpg","Galería Miguel Marcos","","http://www.artbarcelona.es/es/exposiciones/circulo-esp/","Nicolai","","21.07.15 – 25.09.15","Galería Miguel Marcos","CirCulo","Como si se tratara de un cielo nocturno alumbrado por una tormenta eléctrica, la Galería Miguel Marcos se complace en invitarles a CirCulo, la primera exposición individual de Nicolai (Reikiavik, Islandia, 1964) en Barcelona.
La concepción artística de Nicolai podría considerarse la oscuridad del Edén. Un paraíso en el que contextualizar el CirCulo mágico, en el cual, según el propio artista “se puede contemplar una relación entre el cosmos, el sexo y la religión”. Un ascenso de lo superfluo al olimpo sagrado que devendrá un tótem a lo largo de toda su carrera.
Un mundo de interrogantes que se presenta descarado, sin pudores. Arte y retórica unidos en un exordio de los propios lienzos. Venus que buscan al espectador pero que pasan desapercibidas ante la oscuridad, escondiendo su rostro, fijando toda la atención en sus partes íntimas. Private parts que hechizan por su volumetría que seduce al espectador, quien absorto no puede negar su contemplación.
Sin duda, fue Courbet el instigador de este primer plano con su obra L’origine du monde; obra poética con la que la filosofía nicolainiana comparte su devoción por los símbolos, que alejados de cualquier arbitrarierismo, son tan naturales que se vuelven triviales. Una obra y una vida, la de Nicolai, impregnada por la tradición en la que renacen Rubens o Dalí, y se palpan reminiscencias de la Historia del ojo de Bataille, de Sartre o Apollinaire.
Lo místico, lo sagrado, lo (des)conocido flotan en el CirCulo que envuelve esta exposición, que invita a vivir una experiencia física y espiritual supraterrenal.
Nicolai nace en Reikiavik (Islandia) en 1964. Formado en el estudio del pintor Oddur Stenthórsson, su personalidad es la propia de un wanderer, de un peregrino que vive y trabaja entre Pekín, París, Madrid o Reikiavik. Conceptual y místico, poético y provocador, el artista busca representar la naturaleza en su forma más íntima. Expuso por primera vez en París con “Hommage à Mishima” en 1980, momento desde el cual, sus obras, han sido expuestas en distintas galerías y museos de todo el mundo.","null","null","null","http://www.artbarcelona.es/es/exposiciones/circulo-esp/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/EUL--LIA-VALLDOSERA.-st-Tors-frontal-S--rie-El-melic-del-mon.-Tintas-34.-1990.-Tinta-xinesa-sobre-paper-aquerel--la-fi.-65x50-cm..jpg","Galería Sicart","","http://www.artbarcelona.es/es/exposiciones/antes-de-la-luz/","Eulàlia Valldosera","","22.08.15 – 14.11.15","Galería Sicart","Antes de la Luz","null","null","null","null","http://www.artbarcelona.es/es/exposiciones/antes-de-la-luz/"
"http://www.artbarcelona.es/wp-content/uploads/2015/07/desubicado1.jpg","Galería H2O","","http://www.artbarcelona.es/es/exposiciones/desubicados/","díez+zeíd","","10.09.15 – 25.09.15","Galería H2O","Desubicados","Sin abandonar la utilización que hacemos de los objetos cotidianos, habitual en nuestro trabajo como díez+zeíd, en esta ocasión dichos elementos no han sido intervenidos, combinados o manipulados para generar nuevas lecturas o interpretaciones de los mismos; en esta ocasión simplemente han sido ""desubicados"", desplazados del ámbito donde normalmente cobran todo su sentido, habiéndonos acercado de alguna manera al campo de la instalación ya que en estas obras el espacio, y más concretamente el vacío que las rodea, posee un valor significante fundamental para su plena manifestación.
 
En la que se trata sin duda de la más conceptual de nuestras exposiciones hasta el momento, lo que hemos pretendido con estas obras ha sido rendir un homenaje a todas aquellas personas que por diferentes motivos (sociales, económicos, ideológicos…) quedan invalidadas, inutilizadas, anuladas en sus capacidades y potencialidades, ya sean profesionales, afectivas, sentimentales, etc., por las ""desubicaciones"" de las que hablamos, por el desarraigo y extrañamiento del que son víctimas.
 
Las migraciones, la exclusión, el racismo, la marginación, el olvido…, y sobre todo las personas que las sufren, se ven reflejados en toda su crudeza en simples cosas, en inanes objetos que han perdido su significación y sentido pleno por el mero hecho de haber sido “desubicados”.
 
díez+zeíd","null","null","null","http://www.artbarcelona.es/es/exposiciones/desubicados/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/Joan-Brossa-prova-rebutjada.jpg","Galería Joan Prats","","","Joan Brossa, Cabello/Carceller, Hannah Collins, Carles Congost, Ariadna Guiteras, Lola Lasurt, Mariokissme, Muntadas, Javier Peñafiel, Perejaume.","01.09.15 – 23.09.15","01.09.15 – 23.09.15","Galería Joan Prats","Prova Rebutjada (Tout va bien)","","null","null","null","http://www.artbarcelona.es/es/exposiciones/prova-rebutjada-tout-va-bien/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/Dues-formes-de-vern--s_web-Art-barcelona.jpg","Galería Toni Tàpies","","http://www.artbarcelona.es/es/exposiciones/tapies-obra-sobre-papel/","Antoni Tàpies","","18.06.15 – 30.09.15","Galería Toni Tàpies","Tàpies. Obra sobre papel","Obra original sobre papel de Antoni Tàpies del 1987 al 2008.","null","null","null","http://www.artbarcelona.es/es/exposiciones/tapies-obra-sobre-papel/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/imagen_prensa_richard_alta_2015_expo_angelsbarcelona.jpg","àngels barcelona","","http://www.artbarcelona.es/es/exposiciones/in-accordance-with-things/","Richard T. Walker","","15.09.15 – 06.11.15","àngels barcelona","In accordance with things","Es cuestión de escala. Toda piedra es montaña en potencia, sugiere Roger Caillois. In accordance with things, exposición individual de Richard T. Walker para àngels barcelona, supone una nueva activación del paisaje mediante el protagonismo simple y magnífico de la piedra. Un ejercicio de concordancia entre videos, fotografías, esculturas y piezas sonoras donde la percepción del territorio salvaje – o al menos no domesticado – depende de las múltiples funciones y simbologías que el artista inglés otorga a la piedra. A veces un mero objeto, a veces un medio performativo, a veces un paisaje en su totalidad.
David Armengol (comisario de la exposición)","null","null","null","http://www.artbarcelona.es/es/exposiciones/in-accordance-with-things/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/EUL--LIA-VALLDOSERA.-st-Tors-frontal-S--rie-El-melic-del-mon.-Tintas-34.-1990.-Tinta-xinesa-sobre-paper-aquerel--la-fi.-65x50-cm..jpg","Galería Sicart","","","Eulàlia Valldosera","22.08.15 – 14.11.15","22.08.15 – 14.11.15","Galería Sicart","Antes de la Luz","","null","null","null","http://www.artbarcelona.es/es/exposiciones/antes-de-la-luz/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/Joan-Brossa-prova-rebutjada.jpg","Galería Joan Prats","","http://www.artbarcelona.es/es/exposiciones/prova-rebutjada-tout-va-bien/","Joan Brossa, Cabello/Carceller, Hannah Collins, Carles Congost, Ariadna Guiteras, Lola Lasurt, Mariokissme, Muntadas, Javier Peñafiel, Perejaume.","","01.09.15 – 23.09.15","Galería Joan Prats","Prova Rebutjada (Tout va bien)","Prova rebutjada (Tout va bien) propone un recorrido a través de obras unidas por su carácter de umbral y por la forma poética en que determinan su posición política, hilo común de su método de resistencia.
El nombre de la exposición combina los títulos de dos obras que se presentan en la muestra: Prova rebutjada, de Joan Brossa, y Tout va bien, de Muntadas. Mientras el primero afirma con rigor administrativo una realidad sin desvelar que no tiene escapatoria, Tout va bien aporta un consuelo inmediato, pero proyectando una precariedad sarcástica. Este enunciado, encerrado en los signos de su ambigüedad, arroja una luz irónica sobre estos lemas triunfalistas de los años 2000, lemas que no dudaban en relacionar la efervescencia económica con promesas de felicidad. La exposición reúne, en esta línea, obras que movilizan estrategias y espacios micropolíticos para cuestionar discursos hegemónicos. Frente a la aparente coherencia de los relatos dominantes, la mayoría de las obras optan por una yuxtaposición de ideas y una estructura breve que recuerdan a la forma del haiku.
Prova rebutjada (tout va bien) remite al ritmo de los gestos que se presentan en las obras: gestos vitales modestos y contenidos que, en vez de reivindicar su alcance, inciden en tácticas críticas frente a las narrativas establecidas.
Artistas:

Joan Brossa, Cabello/Carceller, Hannah Collins, Carles Congost, Ariadna Guiteras, Lola Lasurt, Mariokissme, Muntadas, Javier Peñafiel, Perejaume.
Comisariada por: Olivier Collet & Patricia de Muga","null","null","null","http://www.artbarcelona.es/es/exposiciones/prova-rebutjada-tout-va-bien/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/imagen_prensa_richard_alta_2015_expo_angelsbarcelona.jpg","àngels barcelona","","","Richard T. Walker","15.09.15 – 06.11.15","15.09.15 – 06.11.15","àngels barcelona","In accordance with things","","null","null","null","http://www.artbarcelona.es/es/exposiciones/in-accordance-with-things/"
"http://www.artbarcelona.es/wp-content/uploads/2015/07/desubicado1.jpg","Galería H2O","","","díez+zeíd","10.09.15 – 25.09.15","10.09.15 – 25.09.15","Galería H2O","Desubicados","","null","null","null","http://www.artbarcelona.es/es/exposiciones/desubicados/"
