event_title,event_start,event_end,event_image-src,event_text,event_link,event_link-href,event_id,event_maplink__1,event_organizer__Fundación Joan Miró,event_venue__Fundación Joan Miró,event_cost__7,event_category__Exposición__Fundación Joan Miró
"Miró y el objeto","30/10/2015","17/01/2016","http://www.fmirobcn.org/media/upload/gif/cache/d_1839_1432725635_255.jpg","Esta exposición monográfica explora por primera vez el papel del objeto en la obra de Joan Miró. Comisariada por William Jeffett, Miró y el objeto investiga como el artista, en una primera fase, evoluciona desde la representación pictórica del objeto hasta su incorporación física a través del collage y el assemblage para llegar finalmente a la escultura.","sobre ""Miró y el objeto""","http://www.fmirobcn.org/exposiciones/5695/miro-y-el-objeto","/exposiciones/5695/miro-y-el-objeto","null","null","null","null","null"
"Si seguimos, seguro que nos reiremos","07/10/2014","18/01/2015","http://www.fmirobcn.org/media/upload/gif/imgdin/expo/cache/0939_255.jpg","Si seguimos, seguro que nos reiremos es una recopilación de fotografías de Tortell Poltrona, payaso catalán fundador de la ONG Payasos Sin Fronteras.","sobre ""Si seguimos, seguro que nos reiremos""","http://www.fmirobcn.org/exposiciones/5685/si-seguimos-seguro-que-nos-reiremos","/exposiciones/5685/si-seguimos-seguro-que-nos-reiremos","null","null","null","null","null"
"Barcelona, zona neutral","25/10/2014","15/02/2015","http://www.fmirobcn.org/media/upload/gif/cache/50_1432720155_255.jpg","Durante la Primera Guerra Mundial, Barcelona entró de lleno en la modernidad. Mientras en Europa se extiende el conflicto bélico, algunos artistas catalanes inician el trayecto hacia la vanguardia (Miró, Togores, Manolo Hugué.","sobre ""Barcelona, zona neutral""","http://www.fmirobcn.org/exposiciones/5639/barcelona-zona-neutral","/exposiciones/5639/barcelona-zona-neutral","null","null","null","null","null"
"Alfons Borrell. Trabajos y días","03/07/2015","27/09/2015","http://www.fmirobcn.org/media/upload/gif/cache/alfons_borrell_1432720802_255.jpg","La obra pictórica de Alfons Borrell (Barcelona, 1931) ha ido consolidándose lentamente como un corpus expresivo de gran intensidad y solidez.

Bajo el título Alfons Borrell.","sobre ""Alfons Borrell. Trabajos y días""","http://www.fmirobcn.org/exposiciones/5692/alfons-borrell-trabajos-y-dias","/exposiciones/5692/alfons-borrell-trabajos-y-dias","null","null","null","null","null"
"Lesson 0","19/09/2014","06/09/2015","http://www.fmirobcn.org/media/upload/gif/cache/lesson0_1425400055_255.jpg","Lesson 0 es un ciclo de exposiciones en el Espacio 13 de la Fundación Joan Miró a cargo de Azotea (Ane Agirre y Juan Canela)","sobre ""Lesson 0""","http://www.fmirobcn.org/exposiciones/5643/lesson-0","/exposiciones/5643/lesson-0","null","null","null","null","null"
"Cuando las líneas son tiempo","01/10/2015","11/09/2016","http://www.fmirobcn.org/media/upload/gif/cache/imatge_cicle_web_1432833119_255.jpg","Cuando las líneas son tiempo es el ciclo de exposiciones del Espai 13 de la Fundació Joan Miró para la temporada 2015-2016. Se trata de un proyecto transversal, comisariado por Martí Manen, que propone reflexionar sobre cuestiones de temporalidad y producción en la práctica artística.","sobre ""Cuando las líneas son tiempo""","http://www.fmirobcn.org/exposiciones/5694/cuando-las-lineas-son-tiempo","/exposiciones/5694/cuando-las-lineas-son-tiempo","null","null","null","null","null"
"En construcción (1973 – 1975)","05/06/2015","04/10/2015","http://www.fmirobcn.org/media/upload/gif/cache/gomisenconstruccio1_1432723432_255.jpg","Joaquim Gomis (1902-1991) fue el primer presidente de la Fundació Joan Miró. Como tal, siguió muy de cerca la construcción del edificio de Sert. Entre 1973 y 1975, año en que se inauguró la Fundació, Gomis documentó la puesta en marcha con su cámara, deleitándose en los detalles, en la composición de los elementos, en las superficies de los materiales, en la luz que entraba dentro del edificio a medio construir.","sobre ""En construcción (1973 – 1975)""","http://www.fmirobcn.org/exposiciones/5693/en-construccion-1973-1975","/exposiciones/5693/en-construccion-1973-1975","null","null","null","null","null"
"Roni Horn. Todo dormía como si el universo fuera un error","20/06/2014","28/09/2014","http://www.fmirobcn.org/media/upload/gif/imgdin/expo/cache/0872_255.jpg","Primera exposición monográfica de la artista en Barcelona en la que se pregunta a través de su obra sobre la realidad que la rodea, su identidad y su relación con el entorno.","sobre ""Roni Horn. Todo dormía como si el universo fuera un error""","http://www.fmirobcn.org/exposiciones/5403/roni-horn-todo-dormia-como-si-el-universo-fuera-un-error","/exposiciones/5403/roni-horn-todo-dormia-como-si-el-universo-fuera-un-error","null","null","null","null","null"
"Joaquim Gomis. Mercè 1969","20/05/2014","05/10/2014","http://www.fmirobcn.org/media/upload/gif/imgdin/expo/cache/0897_255.jpg","Una pequeña muestra de fotografías de Joaquim Gomis sobre la fiesta mayor de Barcelona.","sobre ""Joaquim Gomis. Mercè 1969""","http://www.fmirobcn.org/exposiciones/5518/joaquim-gomis-merce-1969","/exposiciones/5518/joaquim-gomis-merce-1969","null","null","null","null","null"
"Paisajes de presión","20/01/2014","18/05/2014","http://www.fmirobcn.org/media/upload/gif/imgdin/expo/cache/0866_255.jpg","La obra fotográfica de Kathrin Golda Pongratz está estrechamente relacionada con su trabajo como arquitecta y urbanista.","sobre ""Paisajes de presión""","http://www.fmirobcn.org/exposiciones/5292/paisajes-de-presion","/exposiciones/5292/paisajes-de-presion","null","null","null","null","null"
