web-scraper-order,web-scraper-start-url,event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer__MACBA,event_category__Actividad__MACBA,event_maplink__1,event_cost__,event_id
"1534434682-113","http://www.macba.cat/es/actividades","Anecdoteca, notas para escuchar a los objetos","Trabajo de investigación entorno a la exposición ""Francesc Torres. La campana hermética""","/uploads/20180801/ImagenGeneral_VideosTorres.6.png","Un sinfín de artefactos despliegan un yacimiento arqueológico inexplorado. El

archivo histórico de Francesc Torres abre una multitud de interrogantes acerca de la

vida cultural del siglo XX. Entre la guerra y el olvido, la memoria y el juego, el

coleccionismo y la corrosión, los afectos y la construcción de la masculinidad, esta

serie de cápsulas detonan seis breves ensayos que exploran la visualidad y el sentir

de las cosas. Más allá de cualquier gesto hermenéutico o una interpretación de la

exposición, ¿cómo dejar espacio para que los objetos nos hablen?



Este proyecto contempla la realización de diversos vídeos próximamente publicados aquí: 

Cápsula_1 Las manos

Cápsula_2 Aura

Cápsula_3 El ADN de las cosas

Cápsula_4 Vestida de arroz

Cápsula_5 Shirley

Cápsula_6 El juego de la guerra

 

Trabajo realizado por Angelica Tognetti, Emil Becerril, Itxaso Corral Arrieta, Laura

Arensburg y Nicolás Fernández, integrantes del grupo de investigación sobre la

exposición La campana hermética de Francesc Torres, en el marco del Programa de Estudios Independientes 2017-2018.



El Programa de Estudios Independientes del MACBA es un laboratorio para la reflexión y la práctica, un lugar de experimentación sobre las nuevas formas de producción de conocimiento que tiene como objetivo fundamental movilizar el pensamiento crítico en la intersección entre prácticas artísticas, ciencias sociales e intervenciones político-institucionales.","null","null","","","https://www.macba.cat/es/trabajo-de-investigacion-entorno-a-la-exposicion-de-francesc-torres-la-campana-hermetica/1/all/activ","null","null","null","null","/es/trabajo-de-investigacion-entorno-a-la-exposicion-de-francesc-torres-la-campana-hermetica/1/all/activ"
"1534434862-132","http://www.macba.cat/es/actividades","Nos adentramos contigo en las exposiciones","null","/uploads/20180208/38.2.jpg","El MACBA tiene una vocación educativa y pone a disposición de los visitantes un equipo permanente de educadores que atiende al público, tanto en presentaciones y visitas guiadas en horarios fijos como en visitas concertadas para grupos. Además, está a disposición de los visitantes para resolver las dudas que se presenten durante su visita a las salas, informarles sobre las obras expuestas o comentar las exposiciones.



Queremos que las salas del Museo sean un lugar de creación de conocimiento a través de la interacción con la obra de arte, un espacio que estimule el diálogo y la reflexión compartida entre los educadores y los distintos públicos que lo visitan.","null","null","MACBA","","https://www.macba.cat/es/visitas-a-las-exposiciones/1/all/activ","null","null","null","null","/es/visitas-a-las-exposiciones/1/all/activ"
"1534434548-100","http://www.macba.cat/es/actividades","Chroma. Tributo a Derek Jarman","A cargo de a.mal.gam.a","/uploads/20180601/Blue__web_.6.3.jpg","Con motivo de la clausura de la exposición Colección MACBA. Bajo la superficie, que incluye Blue de Derek Jarman, y de la publicación de Chroma en castellano por Caja Negra Editora, os proponemos una velada tributo a Derek Jarman, figura de culto clave para entender la escena contracultural de la era Thatcher, la agitación punk, el cine político queer de la década de los ochenta y el activismo de los primeros años del sida en Reino Unido. Desde su profundo conocimiento de la cultura clásica a sus colaboraciones en videoclips junto a los Sex Pistols, Marianne Faithfull, Bryan Ferry, The Smiths, los Pet Shop Boys o Throbbing Gristle, Jarman articuló una práctica radical a la que rendiremos homenaje a partir de intervenciones, música y lectura de fragmentos de sus textos.



A cargo de a.mal.gam.a. Con la colaboración de Caja Negra Editora.","29 sep. 2018","null","","","https://www.macba.cat/es/chroma-clausura-bajo-la-superficie/1/all/activ","null","null","null","null","/es/chroma-clausura-bajo-la-superficie/1/all/activ"
"1534434556-103","http://www.macba.cat/es/actividades","Colección de publicaciones de artista del Archivo MACBA","Visitas exclusivas para los Amigos del MACBA","/uploads/20180619/Arxiu_web_2.6.4.jpg","Os invitamos a conocer a fondo la colección de publicaciones de artista del Archivo MACBA.



El MACBA, a través de su Centro de Estudios y Documentación, pretende reflexionar sobre el panorama actual de las iniciativas independientes en la producción editorial en torno al arte contemporáneo, con especial interés en las publicaciones de artista y en aquellos proyectos fruto de la creación que exploran distintos soportes y formatos. A partir de la colección de publicaciones de artistas del Archivo del Centro, se establece un diálogo con distintos agentes implicados en el desarrollo y la difusión de este tipo de prácticas, como artistas, comisarios, editores, distribuidores o coleccionistas.","19 sep. 2018","null","CED","","https://www.macba.cat/es/visita-guiada-coleccion-publicaciones-artista-archivo-macba/1/all/activ","null","null","null","null","/es/visita-guiada-coleccion-publicaciones-artista-archivo-macba/1/all/activ"
"1534434922-133","http://www.macba.cat/es/actividades","En espiral","Taller dirigido a familias con niños y niñas de 6 a 12 años","/uploads/20180412/Sin_tn_tulo_1.0.jpg","La Alicia del país de las maravillas se cae por un agujero y se encuentra en un mundo de fantasía poblado por criaturas extravagantes. Inspirados por el universo de Lewis Carroll y por la obra Spiral City de Melanie Smith, investigaremos la imagen de la espiral en la naturaleza, el arte y las galaxias. El taller trabajará conceptos como el extrañamiento, el absurdo y el cambio de escala o formato. Para ello, trazaremos el rastro de una espiral efímera para filmar su movimiento, participaremos en clases de baile desde la experiencia de lo desconocido o leeremos el momento en que Alicia entra en el mundo de fantasía mientras bajamos por unas escaleras de caracol. Tras visitar una selección de obras de la exposición Farsa y artificio, en un viaje de lo micro a lo macro, iremos introduciendo los vínculos entre Alicia y la artista para acabar reinterpretando escenas del cuento con nuestro propio cuerpo. La famosa merienda de locos, el campo de croquet de la reina o la habitación del Conejo Blanco servirán de punto de partida para inventar nuevas historias mediante la teatralización: ¿qué ha sucedido antes y después de esas escenas? Si nos convertimos en sus personajes y luego nos quedamos quietos, quizá logremos hacer una pintura performativa entre todos, un mannequin challenge que durante unos minutos llenará el museo.","04 jul.","29 ago. 2018","MACBA","","https://www.macba.cat/es/taller-en-espiral/1/all/activ","null","null","null","null","/es/taller-en-espiral/1/all/activ"
"1534434545-98","http://www.macba.cat/es/actividades","Amateurismo","A cargo de Cris Blanco","/uploads/20180726/Camerinos_Cabaret_MACBA_web.4.jpg","El amateur es aquel que ama lo que hace, o más bien que hace lo que ama sin la pretensión de obtener beneficio económico alguno o cualquier otro tipo de rédito. En un mundo asediado por la productividad y por la escasez del tiempo, el amateur aparece como una figura que se resiste a esas lógicas de vida. Por otra parte, las asociaciones de aficionados generan espacios de convivialidad a partir de la afinidad de intereses, en muchas ocasiones relacionados con el desarrollo de las artes, bien la pintura, las llamadas artes decorativas, el teatro o el canto. 



Tras la primera edición de Amateurismo en 2017-2018, dirigida por Jorge Dutor y Guillem Mont de Palol y que dio origen al grupo de experimentación corporal y vocal Decorum, proponemos una nueva edición bajo la dirección de Cris Blanco, que tendrá lugar los miércoles y viernes desde el 17 de octubre hasta su culminación con la participación-presentación en el Cabaret del MACBA de 2018. La noción de coro en este contexto se desdibuja y excede el uso de las voces para ser una exploración experimental con los cuerpos, los ritmos, las ideas y los mundos. Para participar en este coro amateur experimental, Cris Blanco hace un llamamiento en busca de voces valientes y cuerpos agitados con ganas de jugar y de todas las edades,*géneros, estaturas y tesituras. No es relevante tener o no experiencia musical. 



*A partir de 18 años.","17 oct.","07 nov. 2018","","","https://www.macba.cat/es/amateurismo-cris-blanco/1/all/activ","null","null","null","null","/es/amateurismo-cris-blanco/1/all/activ"
"1534434550-101","http://www.macba.cat/es/actividades","Mercè 2018: Jornada de puertas abiertas","Fiestas de la Mercè","/uploads/20180702/Mercn__2018_Web.3.jpg","Con motivo de la fiesta de La Mercè, se podrán visitar gratuitamente las siguientes exposiciones: Melanie Smith. Farsa y artificio y Colección MACBA. Bajo la superficie. 



Más información: Exposiciones



MACBA BOOKS week

Del 19 al 24 de septiembre venta especial de publicaciones del MACBA en el MACBA Store Laie al precio único de 6 euros.","24 sep. 2018","null","","","https://www.macba.cat/es/fiestas-merce-2018-jornada-puertas-abiertas/1/all/activ","null","null","null","null","/es/fiestas-merce-2018-jornada-puertas-abiertas/1/all/activ"
"1534434539-95","http://www.macba.cat/es/actividades","Jaume Plensa","Visitas exclusivas para los Amigos del MACBA","/uploads/20180727/plensa_grunewald_web.0.jpg","La exposición individual de Jaume Plensa en el MACBA plantea un amplio recorrido por el trabajo de uno de los escultores catalanes con mayor proyección internacional. Galardonado con el Premi Nacional d’Arts Plàstiques de la Generalitat (1997), el Premio Velázquez de Artes Plásticas del Ministerio de Educación y Cultura (2013) y el Premi Ciutat de Barcelona (2015), entre otros, es reconocido mundialmente por su obra pública en ciudades como Chicago, Londres, Montreal, Niza, Tokio, Toronto o Vancouver.



Veintidós años después de su última exposición en un museo de Barcelona (Fundació Joan Miró, 1996), la obra de Plensa volverá a verse en un museo de la ciudad. En paralelo, el Museo Reina Sofía de Madrid presentará un nuevo proyecto del artista en el Palacio de Cristal durante las mismas fechas. 



Visita a cargo de Ferran Barenblit comisario y director del Macba.","12 dic. 2018","null","MACBA","","https://www.macba.cat/es/visita-amics-jaume-plensa/1/all/activ","null","null","null","null","/es/visita-amics-jaume-plensa/1/all/activ"
"1534434554-102","http://www.macba.cat/es/actividades","Parlem de... Melanie Smith. Sentido inglés del humor mexicano","Con Ximena Pérez Gorbet, artista gráfica","/uploads/20180725/Parlem_Melanie_web.3.0.jpg","PARLEM DE MELANIE SMITH. FARSA Y ARTIFICIO

Con Ximena Pérez Gorbet



El ser humano tiene la necesidad natural de pertenecer. Por lo tanto, la condición de ser extranjero ―es decir, de no pertenecer a la comunidad política donde uno se encuentra― es considerado comúnmente como una desventaja. Sin embargo, el ser extranjero también tiene, como todo, sus ventajas. Cuando uno asume su condición de extranjero es como si se pusiera unas gafas de gran aumento con las que todo se ve tanto en micro como en macroescala, con una conciencia que permite observar con mayor perspectiva y detenimiento todo lo que nos rodea gracias a no estar automatizado con el entorno.



El extranjero trae de origen sus propias referencias de donde ha crecido y trabajado, que le servirán como herramientas para examinar con mayor perspectiva aquello que sobresalga o llame la atención de lo que no conoce. Melanie Smith, de origen inglés, es extranjera en México, país donde ha desarrollado gran parte de su obra. Su cultura inglesa tiene un punto en común con la cultura mexicana: el sentido del humor, una de las herramientas de trabajo de la artista, que se aprecia y emana de una manera evidente en toda su obra.","22 sep. 2018","null","","","https://www.macba.cat/es/parlem-de-melanie-smith-sentido-ingles-del-humor-mexicano/1/all/activ","null","null","null","null","/es/parlem-de-melanie-smith-sentido-ingles-del-humor-mexicano/1/all/activ"
"1534434541-96","http://www.macba.cat/es/actividades","Al descubierto o a escondidas","Visitas exclusivas para los Amigos del MACBA","/uploads/20180727/John_Gerrard_Xlaevis_2017.2.jpg","Se dice que tenemos más conocimientos de lejanas galaxias que del fondo de los océanos. Y algo parecido podríamos decir sobre nuestra relación con el futuro: el futuro lejano puede resultarnos más familiar que el presente profundo. 



Estamos rodeados por una expresiva e infinita pluralidad de posibilidades. Una línea, como nos enseñan las matemáticas, no tiene necesariamente un final. Es el futuro que avanza, o el pasado retrocediendo. Desde otra perspectiva, una línea puede convertirse en un punto fijo, y en el punto de unión para una infinidad de líneas, de posibilidades distintas. Una línea puede transformarse en una ola. Una ola, en un océano. Buscar en la arena sumidos en la oscuridad submarina apela al arte.



Esta exposición, comisariada por Raqs Media Collective, es como un yacimiento en múltiples estratos que explora un concepto de futuro en el que dialogan una miríada de historias y geografías. De ese modo se genera una pluralidad de posibilidades e indagaciones que siguen caminos que se entrelazan, se entretejen y exponen relaciones entre objetos, sentimientos y conceptos, al tiempo que trazan espacios indeterminados entre ellos. 



Visita a cargo de Hiuwai Chu, comisaria del Macba.","22 nov. 2018","null","MACBA","","https://www.macba.cat/es/al-descubierto-o-a-escondidas-visita-amics/1/all/activ","null","null","null","null","/es/al-descubierto-o-a-escondidas-visita-amics/1/all/activ"
