web-scraper-order,web-scraper-start-url,event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer__MACBA,event_category__Actividad__MACBA,event_maplink__1,event_cost__,event_id
"1526029963-162","http://www.macba.cat/es/actividades","Activismos y cronologías desencajadas","Activaciones del Archivo Desencajado","/uploads/20180420/diegodelpozo_diagrama_detalle___002_.0.jpg","Presentación de las cronologías de Diego del Pozo y Diego Marchante “Genderhacker” y coloquio posterior con Fefa Vila, Lucía Egaña Rojas y Nicolás Vatiu Koralsky en torno a los archivos queer y el Archivo desencajado.



Invitamos a Diego del Pozo y a Diego Marchante “Genderhacker”, que han desarrollado la Cronología del archivo ‘queer’ y el Archivo T respectivamente, a compartir sus experiencias cronológicas mediante una activación del Archivo desencajado. Tras ello, iniciaremos un diálogo con Fefa Vila a partir del proyecto ¿Archivo queer?, desarrollado en Madrid desde el año 2013, para conversar en torno a las formas de constitución de este tipo de archivos precarios y su materialización. Animadxs por las preguntas que aparecieron en este proceso de desencajar los archivos, el encuentro intentará ser una forma de poner en común los procesos y compartir los modos de hacer.","18 mayo 2018","null","","","https://www.macba.cat/es/activaciones-archivo-desencajado-activismos-cronologias-desencajadas/1//activ","null","null","null","null","/es/activaciones-archivo-desencajado-activismos-cronologias-desencajadas/1//activ"
"1526029932-149","http://www.macba.cat/es/actividades","Visita comentada a la exposición ""Domènec. Ni aquí ni en ningún lugar""","Actividades Amigos MACBA","/uploads/20180302/PnOginas_desdedossier_MACBA_juny_2017.1.jpg","A cargo de la comisaria Teresa Grandas.



La exposición individual de Domènec (Mataró, 1962) plantea un recorrido por su trabajo, desde finales de los años noventa hasta la actualidad, e incluye nuevos proyectos. A partir de varios edificios o monumentos emblemáticos de la modernidad, Domènec analiza las propuestas del movimiento moderno y su legado en la contemporaneidad, utilizando como soporte de su investigación proyectos in situ, instalaciones, maquetas, fotografías, workshops, seminarios y vídeos. Su trabajo parte de los diferentes contextos locales y establece un diálogo con otros ámbitos internacionales, con el fin de plantear el impacto actual de propuestas utópicas surgidas a raíz de la revolución industrial y en contraposición al capitalismo.","20 jun. 2018","null","MACBA","","https://www.macba.cat/es/visita-comentada-a-la-exposicion-domenec-ni-aqui-ni-en-ningun-lugar/1//activ","null","null","null","null","/es/visita-comentada-a-la-exposicion-domenec-ni-aqui-ni-en-ningun-lugar/1//activ"
"1526029978-169","http://www.macba.cat/es/actividades","Encarna!","Grupo de lectura a cargo de Aimar Pérez Galí y Mar Medina","/uploads/20180312/Encarna_macba.3.jpg","Un grupo de lectura. Una comunidad de estudio. Una pandilla que encarna textos. 

Si encarnar un texto es asumir una modificación del ser, ¿cuáles son los procesos para llevarlo a cabo? ¿Cómo podemos entregarnos a esa modificación ante la lectura del texto?



Queremos plantear un espacio donde entender la lectura como encarnación o encuerpamiento. Si todo texto, u obra, se acerca y pasa por el cuerpo, ofreciéndonos la posibilidad de modificarnos, de desplazarnos, estos encuentros quieren reunir las condiciones que puedan invitarnos a pensar de otra manera, generando diálogo y movimiento.



En esta nueva edición proponemos un cambio de escala. En la primera edición pusimos el foco en la piel, ahora vamos a movernos de piel hacia dentro. Si la percepción de lo que se lee depende de cómo se sientan nuestros cuerpos, de lo que deseen, hagan, disfruten o sufran, ¿podemos hablar de un entendimiento visceral? 



Considerando el cuerpo como un médium sensorial decisivo, vamos a observar la colaboración entre órganos, músculos y tejidos y cómo las vías anatómicas pueden desembocar en una confluencia entre cuerpo y texto, entre lo micro y lo macro, el adentro y el afuera. Esta condición del propio cuerpo como canal somático será la que potencie nuestra relación con la palabra escrita en una visión transversal que quiere animar todas las lecturas, asumiendo el cuerpo como comunidad.

Si una comunidad es un grupo de personas, o cosas, que comparten una carga o un cargo, iremos en busca de estas cargas compartidas. En las comunidades, los movimientos de los cuerpos individuales entran en todas las reformas de la materia y son esos mismos cuerpos los que se sostienen o se desmadejan bajo las tensiones que afloran en el pulso de los acontecimientos colectivos. ¿Podemos sacudirnos en las lecturas para encontrar indicios, modos de organización, comunidades inconfesables?","10 oct. 2017","26 jun. 2018","Espai Taller  MACBA","","https://www.macba.cat/es/encarna-grupo-de-lectura/1/all/activ","null","null","null","null","/es/encarna-grupo-de-lectura/1/all/activ"
"1526029942-153","http://www.macba.cat/es/actividades","Visita comentada a la exposición ""Melanie Smith. Farsa i artifici""","Actividades Amigos MACBA","/uploads/20180502/farse_and_artifice.3.jpg","Con Tanya Barson, conservadora jefe del MACBA y comisaria de la exposición.



El MACBA presenta Melanie Smith. Farsa y artificio, la más amplia exposición institucional realizada en Europa del trabajo de la artista, que abarca todos los medios en los que se expresa, desde sus primeras esculturas, ensamblajes, relieves y pinturas hasta sus obras en vídeo, fotografía e instalaciones.","31 mayo 2018","null","MACBA","","https://www.macba.cat/es/visita-comentada-amigos-exposicion-melanie-smith-farsa-y-artificio/1//activ","null","null","null","null","/es/visita-comentada-amigos-exposicion-melanie-smith-farsa-y-artificio/1//activ"
"1526029982-171","http://www.macba.cat/es/actividades","Los niños del barrio con Quim Packard","Taller extraescolar dirigido a niños del Raval de 9 a 12 años","/uploads/20170921/Fireball_Quim_Packard.0.jpg","Con el inicio del curso escolar desplegamos un nuevo espacio permanente, en el que los niños de 9 a 12 años del barrio podrán experimentar con un artista. Se trata de vivir una experiencia colectiva en una zona elástica, abierta a la imaginación y con ganas de romper normas.



Quim Packard es el primer artista invitado y nos propone un taller en el que el protagonismo recae en lo desconocido, lo extraño, lo escondido e invisible. Se explorarán espacio, tiempo y roles; se transformarán y distorsionarán. Nuestro entorno se convertirá en materia desconocida. Nos adentraremos en los huecos y los rincones de nuestra atmósfera habitual para alterar la realidad. Abrimos dudas y caminos hacia nuevos universos. ¿Cómo visitaría el museo un jabalí? ¿Existen los mundos paralelos? ¿Es posible soñar despierto? ¿Por qué las calles no son de color rosa?



Tip tap tip tap. Ella entra en el museo. Es un gran edificio de color blanco. Sabe que allí se exponen pinturas y esculturas, entre otras obras. De camino ha visto una paloma en la calle. «¿Pueden entrar las palomas en el museo?» se pregunta. Se imagina por un momento el museo lleno de palomas. ¡Qué espectáculo! ¿Por qué son grises las palomas y no de colores como algunos de los cuadros? En el museo ve a un visitante con un sombrero de cowboy. Quiere preguntarle de dónde viene. Normalmente no se atrevería a hablar con un desconocido. Pero curiosamente hoy tiene la voz de una gigante.



Quim Packard (Reus, 1985) es artista y gestor cultural. Su trabajo se formaliza en registros tan variados como talleres, performances, instalaciones, dibujo, texto y conciertos. Su investigación más reciente se centra en la ecología y la relación con la cultura contemporánea. A partir de la ironía cuestiona paradigmas sociales como la cultura consumista occidental. Su ámbito es el de la filosofía, la antropología, la historia, la ecología y el arte.



Ha colaborado con instituciones como el MACBA, el CCCB y el Centre d'Art National Le Magasin de Grenoble. Su trabajo ha sido expuesto en Francia, Estados Unidos y España, en varios museos, centros de arte y galerías. Actualmente dirige el espacio cultural Fireplace junto con la artista Ángela Palacios.","19 oct. 2017","18 mayo 2018","Espai Taller  MACBA","","https://www.macba.cat/es/ninyos-barrio-quim-packard/1/all/activ","null","null","null","null","/es/ninyos-barrio-quim-packard/1/all/activ"
"1526029997-178","http://www.macba.cat/es/actividades","Un lugar sorprendente","Taller dirigido a familias con niños y niñas de 2 a 5 años","/uploads/20180406/Sin_tn_tulo_1.0.jpg","¿Qué es un museo? ¿Qué hay dentro? ¿Cómo es por fuera? ¿Y por dentro? ¿Por qué la gente lo visita? ¿Hay cosas pequeñas y cosas grandes? ¿Qué objetos, palabras o números vamos a encontrar? ¿Podemos inventar un juego con todo eso? Marga Socias ha ideado una propuesta para descubrir el museo a través de unos personajes que van guiando al grupo por el espacio y que, siguiendo una pista tras otra, pueden mover el cuerpo, adivinar, cerrar los ojos y escuchar, proponer y realizar alguna acción.

 

Marga Socias es creadora y actriz. Graduada en Filosofía y Pedagogía por la UB.



Un recorrido interpretado por Núria Clemares, narradora y actriz.","21 abr.","12 mayo 2018","MACBA","","https://www.macba.cat/es/macba-en-familia-un-lugar-sorprendente/1/all/activ","null","null","null","null","/es/macba-en-familia-un-lugar-sorprendente/1/all/activ"
"1526029940-152","http://www.macba.cat/es/actividades","Toma un objeto. Haz algo con él. Haz algo más con él. (Repite.)","Conferencia","/uploads/20180419/Matt_Mullican_Learning_From_That_Person_s_Work_I_Love_to_Walk_to_School___Weird_Feet_detail__2006__262_x_230_cm_courtesy_Projecte_SD_Barcelona_photo_Roberto_Ruiz.0.0.jpg","«Toma un objeto. Haz algo con él. Haz algo más con él. (Repite.)» alude a una conocida cita del pintor norteamericano Jasper Johns. El programa se centra en la manipulación, mutación, apropiación, repetición y secuenciación en el uso del lenguaje, el texto, los símbolos y códigos con el objetivo de alcanzar «algo distinto». Conferencia abierta al público, a cargo de artistas visuales y de performance. 



En colaboración con Werkplaats Typografie, Arnhem (Países Bajos). Comisariado por Mitz Küng.



Presentaciones a cargo de Karl Holmqvist, Matt Mullican y Francesc Ruiz.","01 jun. 2018","null","Auditori Meier","","https://www.macba.cat/es/conferencia-toma-un-objeto-haz-algo-con-el-haz-algo-mas-con-el/1//activ","null","null","null","null","/es/conferencia-toma-un-objeto-haz-algo-con-el-haz-algo-mas-con-el/1//activ"
"1526029946-155","http://www.macba.cat/es/actividades","Ku’dancin Afrobeatz","Habitació 1418","/uploads/20180502/afrobeat_p.0.jpg","Ku'dancin Afrobeatz, o Afrobeatz del Sur (en lengua hausa) es un proyecto artístico y cultural que busca acercar varias danzas urbanas de África subsahariana a través del movimiento y la reflexión.



El taller se desarrollará en tres partes. La primera parte, de descubrimiento y reflexión, estará destinada a dar a conocer algunos de los estilos urbanos que existen en los países de África subsahariana. También se presentarán los contextos en los que se crean esas danzas, los mestizajes implicados y los estilos musicales que las acompañan.



A continuación, elegiremos tres estilos y se enseñarán los pasos característicos de cada estilo. Para terminar, realizaremos una expresión colectiva que consistirá en poner en diálogo los estilos trabajados mediante la improvisación y construir juntos una composición o coreografía para expresar las vivencias y sentimientos del grupo, escogiendo con criterio movimientos y estilo de danza.



Taller a cargo de Inés Archer","26 mayo 2018","null","La Caldera","","https://www.macba.cat/es/kudancin-afrobeatz-habitacio-1418/1//activ","null","null","null","null","/es/kudancin-afrobeatz-habitacio-1418/1//activ"
"1526029993-176","http://www.macba.cat/es/actividades","Parlem de... Oscar Masotta. La teoría como acción","Con Gonzalo Elvira, artista","/uploads/20180227/El_helicoptero_2.8.jpg","PARLEM DE... OSCAR MASOTTA. LA TEORÍA COMO ACCIÓN  

Con Cloe Masotta, Andrés Duque, Ana Longoni, Gonzalo Elvira.



El programa Parlem de quiere generar espacios de debate, a partir de las exposiciones del museo, entre distintos agentes y artistas de la ciudad y el público que nos visita. Es un espacio de encuentro que entiende las exposiciones como poderosos dispositivos activadores de la imaginación y generadores de discursos que a menudo exceden aquellos previstos por la institución o preconcebidos por el equipo curatorial.","14 abr.","16 jun. 2018","MACBA","","https://www.macba.cat/es/parlem-de-oscar-masotta-la-teoria-como-accion/1/all/activ","null","null","null","null","/es/parlem-de-oscar-masotta-la-teoria-como-accion/1/all/activ"
"1526029986-173","http://www.macba.cat/es/actividades","Amateurisme. Accions per un cor","Espai de creació","/uploads/20171005/imagen_para_acciones_para_un_coro.3.jpg","El amateur es aquel que ama lo que hace, o más bien que hace lo que ama sin la pretensión de obtener beneficio económico alguno o cualquier otro tipo de rédito. En un mundo asediado por la productividad y por la escasez del tiempo, el amateur aparece como una figura que se resiste a esas lógicas de vida. Por otra parte, las asociaciones de aficionados generan espacios de convivialidad a partir de la afinidad de intereses, en muchas ocasiones relacionadas con el desarrollo de las artes, bien la pintura, las llamadas artes decorativas, el teatro o el canto. 



Con la voluntad de generar vínculos con estas agrupaciones de aficionados e intercambiar saberes y prácticas, el MACBA inicia un programa centrado en el desarrollo de acciones con grupos amateur. La primera se relaciona con el proyecto Poesía Brossa, para la que se ha invitado a Jorge Dutor y Guillem Mont de Palol por un lado y a Marc Vives por el otro, para que trabajen a partir de textos del poeta con distintas agrupaciones teatrales y corales de Barcelona. En octubre y noviembre los ensayos tendrán lugar en las salas de la exposición del espacio de la Torre.","08 ene.","06 sep. 2018","","","https://www.macba.cat/es/amateurismo/1/all/activ","null","null","null","null","/es/amateurismo/1/all/activ"
