web-scraper-order,web-scraper-start-url,event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
"1526029500-68","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/MAC3097-min-1.JPG","Galería Carles Taché","","","Miguel Ángel Campano","15.03.18 – 19.05.18","15.03.18 – 19.05.18","Galería Carles Taché","Íntimo","","null","null","null","http://www.artbarcelona.es/es/exposiciones/miguel-angel-campano-intimo/"
"1526029500-80","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/SatoshiHashimoto_M.jpg","HANS & FRITZ CONTEMPORARY","","","Satoshi Hashimoto","10.05.18 – 07.07.18","10.05.18 – 07.07.18","HANS & FRITZ CONTEMPORARY","NIGHT – TIME = DARKNESS","","null","null","null","http://www.artbarcelona.es/es/exposiciones/night-time-darkness/"
"1526029552-94","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/Porfolio-7.jpg","Galería Carles Taché","","http://www.artbarcelona.es/es/exposiciones/manel-esclusa-venezia/","Manuel Esclusa","","15.03.18 – 19.05.18","Galería Carles Taché","Venezia","Con 14 años Manel Esclusa (Vic, 1952) ya se inicia en la fotografía en el laboratorio de su padre y en 1974 se traslada a Arlés para realizar un curso internacional de fotografía con grandes maestros. En 1975 es nombrado profesor de la escuela Nikon y en 1980 del Centro Nacional de Fotografía de Barcelona.
En 1977 funda junto con Rafael Navarro Garralaga, Joan Fontcuberta y Pere Formiguera el grupo Alabern.

Su trabajos fotográficos se han dedicado en gran medida a la fotografía de moda aunque desde 1979 ha estado investigando las condiciones de la luz nocturna, la ciudad en la noche y diferentes aspectos de situaciones con escasa iluminación. Una de las exposiciones que ha recorrido diversos países es Aquariana, y algunas de sus series más conocidas son Gits, Ahucs, Naus, Silepsis y Ubs de nit.
Sus trabajos se encuentran en las colecciones de la Biblioteca Nacional de Francia, del Museo Réattu de Arlés y del
Serie Venezia, 1979
Venecia, ¿una ciudad turística? Efectivamente, pero mucho más que eso: una ciudad misteriosa.

Los puentes, los pasajes, la silenciosa remada de las góndolas, la humedad encima de la piel, los encuentros amorosos, las grandes plazas blanca al final de las callejuelas negras, todo es barroco, negro y blanco, justo al contrario que el acento americano de los turistas idiotas. Antes que nada, los venecianos han vivido allí plenamente, sensualmente, en el calor sofocante del verano, más adelante, en el frío glacial del invierno, donde las máscaras de carnaval no han sido más que una maravillosa manera de unirse a los suspiros de los puentes, al olor del agua, al misterio de la noche y a la luz del día…
Todo esto renace en las maravillosas fotografías no turísticas que hizo allí Manel Esclusa en sus años de juventud, una especie de viaje de los sentidos dentro del silencio y del vacío del chapoteo del agua… Sus imágenes son la Venecia verdadera: ¡La ciudad donde querríamos ir a olvidar la vulgaridad del resto del mundo! Su blanco y negro es la metáfora ideal de aquello que es la fotografía… Sí, verdaderamente, una serie maravillosa.
Bernard Plossu, mayo de 2001, en Manel Esclusa. Silencis Latents","null","null","null","http://www.artbarcelona.es/es/exposiciones/manel-esclusa-venezia/"
"1526029500-63","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/PLENSA.-Invisible-Sanna_Premsa-R-MR.jpg","PALMADOTZE","","","Jaume Plensa","07.04.18 – 30.06.18","07.04.18 – 30.06.18","PALMADOTZE","Obra gráfica reciente","","null","null","null","http://www.artbarcelona.es/es/exposiciones/obra-grafica-reciente/"
"1526029500-77","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/ella_els_altres01.jpg","Galería H2O","","","Elisabet Mabres","03.05.18 – 01.06.18","03.05.18 – 01.06.18","Galería H2O","Ella, los otros","","null","null","null","http://www.artbarcelona.es/es/exposiciones/ella-los-otros/"
"1526029500-81","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2017/07/ABGalleryWalk-MWB4-small.jpg","http://www.artbarcelona.es/es/","","","","01.01.18 – 31.12.18","01.01.18 – 31.12.18","http://www.artbarcelona.es/es/","Art Barcelona Gallery Walks","","null","null","null","http://www.artbarcelona.es/es/exposiciones/art-barcelona-gallery-walks/"
"1526029500-67","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/03/imatge-mariona-MR.jpg","PALMADOTZE","","","Mariona Moncunill","17.03.18 – 30.06.18","17.03.18 – 30.06.18","PALMADOTZE","AIL/EBS","","null","null","null","http://www.artbarcelona.es/es/exposiciones/ailebs/"
"1526029584-100","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/Marcos-Avila_Imagen-Invitacion.jpg","ADN Galería","","http://www.artbarcelona.es/es/exposiciones/desde-las-montanas/","Marcos Ávila Forero","","03.05.18 – 16.06.18","ADN Galería","Desde las montañas","Refiriéndose al modo en qué las guerrillas colombianas firman sus comunicados para no ser localizadas, Desde las montañas aborda las cuestiones de la violencia de la guerra, pero también de la lucha y la dignidad, aplicadas a distintos contextos generando aproximaciones y lecturas reveladoras. Marcos Ávila Forero toma sus acciones como formas de discutir y pensar cuestiones políticas y contextos sociales específicos colocando en el centro de sus investigaciones al ser humano y actuando a la vez como activista. ADN Galería presenta una propuesta en la que el artista consigue hacer suyo el espacio presentando una serie de obras de distintos formatos de las que surgen distintas historias que establecen puentes de la memoria analizando elementos del pasado y del presente.","null","null","null","http://www.artbarcelona.es/es/exposiciones/desde-las-montanas/"
"1526029546-92","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/d33318A.jpg","Galería Marlborough","","http://www.artbarcelona.es/es/exposiciones/antonio-lopez-fatima-juan-genoves-irreversible/","Antonio López y Juan Genovés","","05.04.18 – 12.05.18","Galería Marlborough","ANTONIO LÓPEZ – Fátima / JUAN GENOVÉS – Irreversible","Marlborough Barcelona presenta Fátima, la última escultura del artista Antonio López
Paralelamente a la exposición que le dedica el Palau de la Música Catalana, que se inaugurará durante el mes de abril, Marlborough Barcelona acogerá en su espacio la última escultura realizada por el artista.
Fátima es una escultura de una mujer desnuda perfectamente esculpida en mármol blanco. A pesar de su estatismo, su mirada conduce su cabeza hacia el frente y ligeramente hacia arriba, como suspendiéndola durante un instante en el momento culminante de una inspiración. Su ojos dirigidos hacia el infinito son uno de sus rasgos más destacados, y junto con su rostro y su cuerpo desnudo, demuestran la maestría de uno de los artistas españoles más reconocidos mundialmente.
El cuerpo humano ha sido uno de los temas que Antonio López ha explorado en profundidad a lo largo de su trayectoria artística. Sus grandes cabezas y sus cuerpos parecen concentrar la forma de la figura humana absorviendo la atmósfera que la rodea en una expresión de ingravidez y atemporalidad. Junto a la escultura también se mostrará un dibujo preparatorio del artista para la realización de Fátima en una exposición única.
Antonio López nació en 1936 en Tomelloso, Ciudad Real. Le inicia en la pintura su tío Antonio López Torres. En 1949, con solo trece años de edad se traslada a Madrid. Entre 1950 y 1955 cursa estudios de pintura en la Escuela Superior de Bellas Artes de San Fernando de Madrid. López consigue desarrollar una obra independiente en medio de un panorama artístico estructurado en base al informalismo y la abstracción. En  1961 contrae matrimonio con la también pintora María Moreno.
Entre su escultura pública cabe destacar El Día y la Noche, en la Estación de Atocha, Madrid; La Mujer de Coslada, Coslada, Madrid y Carmen dormida y Carmen despierta, en el Museum of Fine Arts Boston, Estados Unidos.
Su obra se ha expuesto en los principales museos y salas en todo el mundo y forma parte de las más importantes colecciones privadas y  públicas nacionales e internacionales, entre otros: Museo Nacional de Arte Reina Sofía, Madrid; Museo Thyssen Bornemisza, Madrid; Museo de Bellas Artes de Bilbao, Bilbao; Fundació Sorigué, Lérida; The Museum of Modern art, Nueva York, The Museum of Fine Arts, Boston; Musée National d’Art Moderne, Centre Georges Pompidou, París, Nagasaki Prefectural Museum of Art, Nagasaki o Palazzo Chiericati, Vicenza.
Recientemente la pinacoteca de Brera acogió la muestra Antonio López García, Caravaggio. Cena para dos, pintura de la realidad en la que se establecía el diálogo entre las obras Cena de Emaús de Caravaggio y La cena de Antonio López.
En 1992 el director cinematográfico Víctor Erice filma el largometraje El sol del membrillo, centrado en el proceso creativo de Antonio López, que posteriormente fue galardonado con diversos premios internacionales.
Marlborough Barcelona dedica una exposición a la obra gráfica intervenida a mano de Juan Genovés
Del 5 de abril al 12 de mayo se presentan las últimas creaciones gráficas de Genovés, obras en las que el artista interviene a mano generando una obra a medio camino entre obra gráfica y original.
Durante los últimos dos años Juan Genovés, ha estado trabajando en una nueva y original forma de realizar sus obras gráficas interviniendo a mano sobre el gliclée y convirtiendo así la obra gráfica en un híbrido con la original. El resultado son unas obras con un acabado de gran perfección técnica en las que el artista expresa sus características relaciones espaciales entre los diferentes individuos que conforman las multitudes.
Las recientes composiciones mantienen el color y juegan igualmente con las disposiciones de las multitudes propias del artista, aunque en este caso, algunas de las figuras humanas representadas en vista de pájaro son tridimensionales. A lo largo de su trayectoria estas figuras han ido evolucionando progresivamente hacia una corporeidad matérica más evidente.
Juan Genovés (Valencia, 1930) se formó en la Escuela de Bellas Artes de San Carlos (Valencia). Desde sus inicios mostró inquietud y preocupación  por la necesidad de renovar el arte español así como por la función del artista en la sociedad. Su firme convicción sobre el arte transformador y comprometido con el entorno le llevó a formar parte de colectivos muy significativos en el panorama español de postguerra: Los Siete (1949), Parpalló (1956) y Hondo (1960). En este último grupo, que supuso nuevos planteamientos figurativos frente al Informalismo, Genovés desarrolló una pintura de carácter expresionista y provocador.
En la década de los sesenta, tras una breve crisis pictórica y una relación profunda con los movimientos de oposición a la dictadura franquista, comenzó a plantear dos temas: el ""individuo solo"", resuelto inicialmente como un ""collage"" en relieve; y la ""multitud"", tratada con tintas planas y estructuras plásticas de aspecto cinematográfico. Esta última propuesta se concretará con el tiempo en un singular realismo político de fuerte denuncia social, confeccionado a partir de la manipulación de imágenes proporcionadas por los medios de comunicación de masas. En los años ochenta inició un nuevo periodo en el que se interesó por el paisaje urbano, reduciéndolo a una gama cromática de grises, azules y ocres que constituyen lo que se ha dado en llamar ""espacios de la soledad"".
Genovés ha sido galardonado con la Mención de Honor (XXXIII Bienal de Venecia, 1966), la Medalla de Oro (VI Biennale Internazionale de San Marino, 1967), el Premio Marzotto Internazionale (1968), el Premio Nacional de Artes Plásticas (1984), el Premio de las Artes Plásticas de la Generalitat Valenciana (2002) y el Oro al Mérito en las Bellas Artes (2005).
Entre sus exposiciones más recientes, cabe destacar la realizada en Marlborough Gallery, Nueva York (2016), A Retrospective en el Naples Museum of Art, Naples, Florida, (2012), Crowds, en el Centro del Carmen, Valencia (2013) y Recent Paintings, Marlborough Fine Art, Londres (2014).
La obra de Juan Genovés se encuentra en alrededor de un centenar de museos e instituciones españolas e internacionales como, por ejemplo, The Museum of Modern Art (Nueva York), The Solomon R. Guggenheim Museum (Nueva York), The Art Institut of Chicago (Chicago), Museum Moderner Kunst, (Viena), Museo Nacional Centro de Arte Reina Sofía (Madrid), Colección La Caixa (Barcelona), Museo Rufino Tamayo (D.F.), Museo de Arte Moderno (Río de Janeiro), The Israel Museum (Israel), etc.","null","null","null","http://www.artbarcelona.es/es/exposiciones/antonio-lopez-fatima-juan-genoves-irreversible/"
"1526029613-109","http://www.artbarcelona.es/es/agenda/","http://www.artbarcelona.es/wp-content/uploads/2018/04/elscolorsdaquellaterraoblidada14-70x70-2018.jpg","N2 Galería","","http://www.artbarcelona.es/es/exposiciones/petite-nature/","Manu vb Tintoré","","26.04.18 – 15.06.18","N2 Galería","Petite Nature","“Petite Nature” sitúa al espectador en la frontera entre los conceptos de paisaje y territorio, proponiéndole nuevos horizontes con el fin de llevarlo a reflexionar sobre la relación entre los límites y la identidad, entre lugar y sentido de pertenencia. Límites y fronteras que actúan como sistemas de acotación para interpretar la realidad y describir nuestra relación con la naturaleza y con el mundo en el que vivimos, poniendo de manifiesto la incapacidad del hombre para abarcar la realidad infinita que lo envuelve.
Así, cada obra es el fragmento de un diálogo entre la naturaleza y un ser humano que se identifica, se arraiga profundamente en la tierra y al mismo tiempo pretende apropiarse de ella, controlarla, dividirla y acotarla. El título de esta exposición hace referencia, por un lado, a lo pequeño, a lo diminuto e incluso invisible del mundo natural, sometido tantas veces por el hombre; por el otro, Petite nature es una expresión francesa que se emplea para referirse a la debilidad y a los límites del ser humano.","null","null","null","http://www.artbarcelona.es/es/exposiciones/petite-nature/"
