"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"Visita comentada a brain… glitter de Jack Davidson","Tat Art Barcelona","Jack Davidson","05/18/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1943653079201411/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18278945_10207264789496906_3921594494274171394_o.jpg?oh=1f20a177b62f807ce221962ceac03984&oe=59C11FD0' width='228' height='182' alt='Visita comentada a brain… glitter de Jack Davidson' />Una conversación sobre pintura entre Jack Davidson y David Armengol con banda sonora de Frank Ocean, Crosby, Stills, Nash and Young, The War On Drugs, Van Morrison, New Order, Pet Shop Boys, Low, Iron And Wine, Orange Juice, Bob Dylan, The Go-Betweens, Television, Seelenluft, Neil Young, Julieta Venegas, The Apartments y Phosphorescent. <br /><br />Como apunta el mismo Davidson, su pintura se basa en “gestos que no son gestos”, algo que lo aleja de los postulados de la abstracción expresionista para incidir de un modo particular en registros performativos. En su caso, la performatividad es sutil e invisible, y tiene que ver menos con el arte y más con los estados anímicos derivados de la música. Por eso no nos extraña que los títulos de sus pinturas siempre sean frases extraídas de canciones de grupos que el artista escucha mientras pinta. Al fin y al cabo, una capa de vivencia que no condiciona la recepción del cuadro pero que suma un pequeño acto narrativo tan encriptado o evidente como el espectador decida.</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18278945_10207264789496906_3921594494274171394_o.jpg?oh=1f20a177b62f807ce221962ceac03984&oe=59C11FD0"
"Estació·Disseny·Barcelona : Summer Edition : 10/11 Junio","Barcelona-Estación de Francia","Estació Disseny Barcelona","06/10/2017","","06/11/2017","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/106967209870807/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18121970_1596190703764602_8208973621327894908_o.jpg?oh=5e3732ef11e3d2693b14eb21d2a8788c&oe=598903EE' width='228' height='182' alt='Estació·Disseny·Barcelona : Summer Edition : 10/11 Junio' /></p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18121970_1596190703764602_8208973621327894908_o.jpg?oh=5e3732ef11e3d2693b14eb21d2a8788c&oe=598903EE"
"Real or Unreal? Past or Present?","Carrer d'Espronceda, 326, 08027 Barcelona (Barcelona), Espanya","Espronceda","05/23/2017","","05/27/2017","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1479173375438915/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18216647_818715434954268_2442213202412864947_o.jpg?oh=ce07939e9cacb5016750df51d5308cc5&oe=59B8249D' width='228' height='182' alt='Real or Unreal? Past or Present?' />Espronceda presents its Collective exhibition for the LOOP FESTIVAL, ""Real or Unreal? Past or Present?""<br /><br />with the former artists in residence Cong Yao, Natalia Skobeeva, Lorenza Cullet, Bianca Kennedy and Fabian Vogler.<br /><br />Exhibition curated by Savina Tarsitano.<br /><br />Opening on 23rd of May, 19h30<br />Exhibition from 23rd to 27th of May, 2017.<br /><br />« Real or unreal? Past or present? » reflects on the concept of identity, history, heritage, culture, without giving a clear answer to those social issues. A multiple look of different artists with different cultures, background, identity. A question on our past, present, future and humanity analyzed by five artists through a multidisciplinary language. The artists selected for this collective exhibition are former residents of Espronceda. Natalia Skobeeva and Cong Yao were winners of a program in cooperation with the Royal Academy of London. Fabian Vogler and Bianca Kennedy started their cooperation after meeting at Espronceda. And Lorenza Cullet went to Barcelona to realize a research now ready to be shown.<br /><br />The Russian artist Natalia Skobeeva with her work “This Territory is Time” links and integrates complex and disparate apparent ideas into a coherent interdisciplinary artistic work, which has characteristics attributed to transnational art, multiplicity, liminality and hybridity. Artistic research is taken to the Sagrada Familia - a unique manifestation of humanity. Life-time creation of Gaudi and iconic Catalan monument - the work explores how the issues of particular and universal are renegotiated in the context of ambivalent (non) belonging by human kind in the post-internet era.<br /><br />The work of the Chinese artist Cong Yao “Under Blue” explores gender politics through beauty, pleasure, disgust, danger, violence, the erotic and the artificial, the dance of the brush and the movement of the camera, imparting an uneasy feeling of voyeuristic power to the viewer. Under Blue broadly speaking fits into the performance and body art trend in video art, but its exclusive use of close ups and the effect of not really understanding what we’re looking at. In the work, the fragmented body, body movement, color and textures appear between real and surreal, our attention to those colors and textures is greatly rewarded, even as the context become more complex. <br /><br />The work and cooperation of the two German artists Fabian Vogler and Bianca Kenney “Limbo Weeks” depicts a peculiar state of human development: the first seven weeks, when nature hasn't decided on a specific gender for its fetus yet. This state of blissful limbo, turning back and forth the hands of time, puts a question mark on our trimmed world to the bipolar gender construct. <br /><br />While the Colombian/French artist Lorenza Cullet through her work “Triptic Panoramico” emphasizes the sounds of each image (in real time or not) alternate themselves like waves of the sea. The attention of the viewer is then more or less directed by the sound who takes it to a certain image that would correspond to him. Each image is related to the flow of time, whether memories or the past, which is the flow of the present lived and animated, or the pause of thinking, present reflections are like mirrors or ghosts of the time.</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18216647_818715434954268_2442213202412864947_o.jpg?oh=ce07939e9cacb5016750df51d5308cc5&oe=59B8249D"
"A R Q U [ in ] F I L M 2 0 1 7 | Muestra de Cine de Arquitectura","Filmoteca de Catalunya","Ojo Cónico","05/19/2017","","05/21/2017","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/222307928256752/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18238468_1671988289485773_6100542963395593350_o.jpg?oh=53bb90ccbc91d70f90d6e3df7933a73b&oe=59BA8AA1' width='228' height='182' alt='A R Q U [ in ] F I L M 2 0 1 7 | Muestra de Cine de Arquitectura' />Arqu[in]FILM ||| Muestra de Cine de Arquitectura ||| Barcelona 19 – 21 Mayo 2017<br /><br />Por tercer año consecutivo nos alegra poder invitaros a Arqu[in]FILM, la Muestra de Cine de Arquitectura de Barcelona. En la presente edición de Arqu[in]FILM pretendemos homenajear a figuras relevantes de la arquitectura y el urbanismo cuyo trabajo, en ocasiones, es menos conocido que el impacto del mismo. Quizás ha sido su condición de mujer lo que les ha impedido gozar del prestigio laboral que les correspondía. Esta edición es por tanto un homenaje a ellas, figuras públicas o anónimas, que contribuyen con su urbanidad y su humanidad a hacer nuestro entorno más habitable. Es también una celebración del máximo galardón de la arquitectura, el premio Pritzker entregado este año a los olotenses RCR. En esta ocasión, a sus tres integrantes por igual.<br />En colaboración con ArquinFAD y la Filmoteca de Catalunya.<br /><br /><br />VIERNES 19 DE MAYO ·  19.30  <br /><br />MOMENTS DE SILENCI<br />Júlia De Balle, Hisao Suzuki, Olot, 2017 40' – Estreno Mundial<br />Presentación en exclusiva de la edición preparada con motivo del premio Pritzker de esta narración sensorial del trabajo del estudio RCR.<br /><br />CITIZEN LAMBERT: JEANNE D'ARCHITECTURE <br />Teri Wehn-Damisch, Canada, National Film Board Canada  2007, 52' – Estreno en España<br />Incursión única en el universo de Phyllis Lambert, una de las arquitectas más influyentes en la historia de la arquitectura moderna. Escritora, comisaria, activista, militante urbana, profesora,  mecenas y fundadora del Centro Canadiense de Arquitectura (CCA) en Montréal. Retrato de la vida pública y la esfera más íntima de la responsable de asignarle a Mies Van der Rohe el encargo para el edificio Seagram. Mediante este retrato complejo se desgrana la figura de una visionaria llena de ideas, de una mujer combativa dotada de una sana ambición, de una mente libre, que recibió el León de Oro a la trayectoria vital en la Bienal de Venecia de 2014.<br /><br /><br />SÁBADO 20 DE MAYO ·  19.00   <br /><br />WOMEN ARE HEROES<br />JR, 27.11 PRODUCTION, França, 2011, 80' V.O. – Estreno en España<br />Esta película se ha rodado alrededor de todo el mundo, particularmente en Brasil, India, Kenia y Camboya. Se inicia en las favelas de Brasil, donde reconocemos los carteles enormes de JR y las reacciones que provocan en las mujeres. Después, en el India, donde se descubre la mujer atrapada entre las costumbres tradicionales y modernos. A continuación, Kenia, donde, una vez más, las mujeres tienen que vivir de una forma más caótica e inestable. Finalmente, en Camboya, nos enfrentaremos a la violencia de la expropiación violenta ultra contra los hogares encabezados por un sistema matriarcal que los intentos de hacer frente de los gigantes inmobiliarios...Cada mujer a la película nos sorprende con su coraje y  fe. <br /><br />* Presenta la película Ethel Barahona Pohl de dpr-Bacelona.<br /><br /><br />DOMINGO 21 DE MAYO ·  19.30 <br /><br />CITIZEN JANE: BATTLE FOR THE CITY<br />Matt Tyrnauer, Altimeter Films, EE. UU., 2016, 92' – Estreno en España<br />En 1960, el análisis de las consecuencias del planeamiento moderno y su reconfiguración del espacio urbano, presentado en el libro de Jane Jacobs Muerte y vida de las grandes ciudades, consternó a arquitectos y urbanistas. Jacobs era una activista involucrada en muchas de las luchas de la Nueva York de mediados del siglo XX para detener la acción del todopoderoso Robert Moses sobre la ciudad. Esta película narra las batallas ciudadanas, encarnadas por Jacobs y Moses, en un momento en que la urbanización se sitúa en el centro de la agenda global. En los clarividentes escritos de Jacobs se pueden encontrar pistas para la formulación de soluciones a la enorme diversidad de situaciones urbanas; asimismo, la observación cuidadosa de sus visiones sobre la ciudad está a la orden del día. Este documental pretende examinar la ciudad contemporánea a través de la mirada de una de sus mayores defensoras.  <br /><br />Mesa Redonda: URBANISMO Y CONFLICTO<br />Mesa redonda coordinada por Laia Grau, arquitecta, urbanista, y comisaria.<br /><br />Filmoteca de Catalunya, Pl. Salvador Seguí 1-9, 08001 Barcelona</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18238468_1671988289485773_6100542963395593350_o.jpg?oh=53bb90ccbc91d70f90d6e3df7933a73b&oe=59BA8AA1"
"Exposición de Pintura Valerie Blanchard en Porta Roja","Porta Roja","Porta Roja","05/18/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1905540439716940/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/q81/s720x720/18238206_448181578866601_4335467870793036507_o.jpg?oh=d8992d4e5d4a9bd43a88ced81726c24b&oe=59C209A1' width='228' height='182' alt='Exposición de Pintura Valerie Blanchard en Porta Roja' />---------------------<br />Exposición de Pinturas de Valeri Blanchard.<br />Inauguración: jueves 18 de mayo desde las 19:00 hs.<br />Cierre: sábado 10 de junio.<br />Lugar: Porta Roja Asociación Cultural (c/ Tapioles, 53. Poble-sec, Barcelona).<br />---------------------<br /><br />Valerie Blanchard. Pintora e ilustradora autodidacta.<br />Paris, 1965.<br /><br />Vivo en Barcelona desde 2009.<br />Pinto situaciones cotidianas de la ciudad. Voy de paseo por aquí y por allá. Hago bocetos, tomo notas o saco algunas fotos. Una vez en casa plasmo sobre el lienzo con mi imaginario personal.  Muchos colores y un toque de ironía aportando un estilo falsamente naif y costumbrista, con pequeñas escenas de nuestro barrio.<br /><br />Empecé a pintar en 1993 cuando vivía en Granada y fui modelo del pintor Toshima Yasumasa.<br />He realizado numerosas exposiciones en Francia,  Alemania,  Bélgica, Andalucía y Barcelona. <br /><br />+ info: http://www.peintre-blanchard.com</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/q81/s720x720/18238206_448181578866601_4335467870793036507_o.jpg?oh=d8992d4e5d4a9bd43a88ced81726c24b&oe=59C209A1"
"Visita guiada expo: Escaques de Joan Pla","Galeria Fotogràfica ilmondo","Galeria Fotogràfica ilmondo","05/18/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1166725340116345/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t1.0-9/18301129_1530308673680587_8037685497201264387_n.jpg?oh=125c01708600778fb735b5749af1fc32&oe=59B3D873' width='228' height='182' alt='Visita guiada expo: Escaques de Joan Pla' />Us convidem a la visita guiada de l'actual exposició: ""ESCAQUES"" de Joan Pla, dijous 18 de maig a les 18h.<br /><br />L'autor Joan Pla ens explicarà de primera mà les interioritats d'aquesta exposició amb una intensa sensibilitat artística, elegància estètica i fantàstica qualitat tècnica.<br /><br />Ho acompanyarem amb molt bon ambient, cerveses fresques i un aperitiu, us esperem!!</p>","https://scontent.xx.fbcdn.net/v/t1.0-9/18301129_1530308673680587_8037685497201264387_n.jpg?oh=125c01708600778fb735b5749af1fc32&oe=59B3D873"
"Afrocolors - African Fashion Market de AFWB 2017","Africa Fashion Week  Barcelona","Africa Fashion Week  Barcelona","07/01/2017","","07/02/2017","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1878913345688827/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16711687_1436228276430117_2500926323011008393_n.png?oh=8e947e91a7b17c5a1456f133ca5df1b9&oe=597E6C1D' width='228' height='182' alt='Afrocolors - African Fashion Market de AFWB 2017' />""Afrocolors"" African Fashion Market de Africa Fashion Week Barcelona 2017</p>","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16711687_1436228276430117_2500926323011008393_n.png?oh=8e947e91a7b17c5a1456f133ca5df1b9&oe=597E6C1D"
"Taller de Ilustración con Cristian Barbeito","Color_Triciclo","Color_Triciclo","06/06/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1760918270888711/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/q82/s720x720/18209238_1874108406183193_50157798663638550_o.jpg?oh=7e89af585696e767057e916d71f938bf&oe=59BC8F7D' width='228' height='182' alt='Taller de Ilustración con Cristian Barbeito' />Contenido y detalles del taller <br /><br />Taller de 12 horas de duración sobre iniciación al mundo de la Ilustración. Desde el papel en blanco hasta sacar el máximo rendimiento a tus dibujos con ejercicios prácticos en cada una de las semanas, trabajar con diferentes técnicas la creatividad durante el proceso de trabajo. Idea, desarrollo, acabado.<br /><br />• Conceptos básicos: composición, formato, color, desarrollo, idea<br />• Encaje, boceto y volver a empezar<br />• Encontrar las herramientas necesarias para cada ilustrador<br />• Enfoque personal, como trabajar y enriquecer el estilo propio<br />• Ejercicios de experimentación<br />• Proyecto personal<br /><br />Cada asistente realizará diferentes trabajos durante las 12 horas de duración, más un proyecto final<br /><br />¿A quién va destinado?<br />A todas las personas, los que tienen interés por el dibujo y/o gente con algo de experiencia previa. <br /><br />Material necesario:<br />Incluido, proveemos nosotros del material básico, lápices y papel. En caso de disponibilidad de un portátil por cada uno de todos los alumnos inscriptos, la última clase podría ser dedicada en aprender a dibujar con el ordenador. <br /><br />Fecha: <br />Cuatro sesiones de tres horas, 6/13/20/27 de junio <br />Duración:<br />12 h<br />Horario:<br />18-21 (martés)<br />Precio: <br />110 €<br />Dirección: <br />C/del Portal Nou, 16 bj<br /><br />Para info y reservas:<br />info@colortriciclo.com<br />Adele: 645489574<br />Costanza: 645953851<br /><br />¡NO SE ADMITEN RESERVAS A TRAVÉS DEL FACEBOOK!<br /><br />¡El curso se hará a partir de un mínimo de 5 personas y hay un aforo limitado!<br /><br /><br />Sobre Cristian Barbeito<br /><br />Cristian Barbeito es un ilustrador barcelonés de 33 años, autodidacta hasta que estudia en Escola JOSO, donde, una vez graduado, se queda dando clases de Ilustración y cómic infantil durante los primeros años de profesional.<br />Durante los últimos años realiza trabajos artísticos de toda clase, ilustraciones para diferentes medios (editorial Cruïlla), arte en series de animación (l’illa del far TV3) cómics informativos (Primavera Sound14), dirección de arte (Videoclip músico UVE). Ha trabajado para diferentes Agencias como Freelance, Estudios o Edioriales especializadas en ilustración digital, que es el campo donde se siente más creativo y hay mejores resultados. Hace trabajos para Primavera Sound (postal 15º aniversario), para grupos de música (Black Daniels Popcorn Makers, SOFISTICANTE djSet y UVE) e ilustración de prensa (Actualidad24 .net) o proyectos personales.<br /><br />http://www.cristianbarbeito.com/<br />https://www.instagram.com/doncaoticoneutral/</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/q82/s720x720/18209238_1874108406183193_50157798663638550_o.jpg?oh=7e89af585696e767057e916d71f938bf&oe=59BC8F7D"
"La plaça dibuixa 2017","Fundació Setba","Fundació Setba","05/20/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/302748243487913/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18320590_1363916513673390_8687016799841422823_o.jpg?oh=33c97c9015a9fb5ca9d21661d5fad83e&oe=59B7B17C' width='228' height='182' alt='La plaça dibuixa 2017' />La Fundació Setba organitza ""La plaça dibuixa"", una activitat gratuïta oberta a tot el públic, per “envair” la Plaça Reial armats amb llapis i paper!<br /><br />Vine a dibuixar la Plaça Reial i gaudeix d'una oportunitat única d'observar la Plaça des dels seus balcons i terrasses! <br /><br />No cal que portis material de dibuix, nosaltres te’l donem! Però per poder participar i recollir el material sense fer cues, t'has de registrar (excepte els nens): <br />www.eventbrite.com/e/registro-la-placa-dibuixa-2017-31322878573 <br /><br />També hi haurà un taller de dibuix infantil, impartit per l’il·lustrador Lluïsot Ninotaire.<br /><br />En el marc d’aquesta jornada, la Fundació Setba organitza dos concursos: el premi al millor dibuix amateur i el premi a la millor foto de la jornada a Instagram.<br /><br />Més informació: http://www.fundaciosetba.org/la-placa-dibuixa-2017/</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/18320590_1363916513673390_8687016799841422823_o.jpg?oh=33c97c9015a9fb5ca9d21661d5fad83e&oe=59B7B17C"
"Visita guiada amb l'artista Alberto García-Álvarez","Espai Volart i Volart 2","Espai Volart i Volart 2","05/18/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/437230139948636/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/17492488_1527039830647551_8644402817051948078_o.jpg?oh=001e35bfd0c5d581c53106f656c6b548&oe=59765A8B' width='228' height='182' alt='Visita guiada amb l'artista Alberto García-Álvarez' />CA - “Visions i desconcerts” és una exposició d’Alberto García-Álvarez (Barcelona, 1928) que desxifra la trajectòria d’aquest artista internacional revelant un insòlit esperit d’experimentació i una constant geomètrica que el manté fidel als seus orígens com a part integrant del grup Flamma.<br />Més informació: http://bit.ly/2oIkWQX<br /><br />ES - “Visiones y desconciertos” es una exposición de Alberto García-Álvarez (Barcelona, 1928) que descifra la trayectoria de este artista internacional revelando un insólito espíritu de experimentación y una constante geométrica que le mantiene fiel a sus orígenes como parte integrante del grupo Flamma.<br />Más información: http://bit.ly/2og3jH0</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/17492488_1527039830647551_8644402817051948078_o.jpg?oh=001e35bfd0c5d581c53106f656c6b548&oe=59765A8B"
