event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer__MACBA,event_category__Actividad__MACBA,event_maplink__1,event_cost__10,event_id
In the same boat,"Presentación a cargo de Zygmunt Bauman, Rudy Gnutti y Pere Portabella",http://www.macba.cat/uploads/20160125/IN_THE_SAME_BOAT_barres0.4.jpg,"“Atenas digital” es un término acuñado por Erik Brynjolfsson (MIT) como un deseo de futuro en el que las máquinas (tal como ocurría con los esclavos en la Grecia Clásica) realizarían la mayoría de los trabajos, lo que permitiría al hombre libre ocuparse de causas más elevadas. ¿Por qué, si hoy tenemos los mecanismos para mejorar y racionalizar la vida en nuestro planeta, parece que vayamos directos a un desastroso y pronosticado colapso? El capitalismo ha sido y es, sin duda, el artífice y propulsor del enorme y espectacular desarrollo tecnológico a partir de la Revolución Industrial. Este sistema ha creado una frenética carrera: mantenerse productivo y competitivo es el motor de ese mecanismo imparable llamado “progreso”.



A pesar de las enormes bolsas de injusticia, es difícil no admitir que esta competitividad también ha sido, durante los últimos decenios, una extraordinaria fórmula para el desarrollo económico, político y social en muchos lugares del planeta que estaban, hasta hace poco, excluidos sistemáticamente de cualquier tipo de progreso. Pero los avances en máquinas e informática, cada vez más rápidos y eficientes, provocan una disminución lenta pero imparable del trabajo humano, en producción y también en servicios. El paro tecnológico, como la progresiva desaparición de la clase media, son hechos que empiezan a resultar evidentes incluso para los más escépticos. Todos estos cambios tan convulsos y vertiginosos provocan la pérdida de referencias culturales, sociales y políticas, y nos hacen vivir una realidad incierta y volátil. Es lo que Zygmunt Bauman ha definido como “modernidad líquida”.



La gestión de estas evidencias, junto con la necesidad imperiosa de una drástica desaceleración de la producción y del consumo global, pueden ser catastróficas o pueden reconducirnos hacia un mundo sostenible. Como el problema es global, las soluciones deben ser universales. En el documental In the same boat se afrontarán, de forma clara y directa, todos los temas descritos, a través del testimonio de pensadores, filósofos y economistas de primer nivel y de tendencias ideológicas dispares.",17 feb. 2016,null,Auditori Meier,,http://www.macba.cat/es/in-the-same-boat/1/actividades/activ,null,null,null,null,/es/in-the-same-boat/1/actividades/activ
"Autoedición, anarchivo, fotozines",Taller-charla organizado por La Fanzinoteca,http://www.macba.cat/uploads/20160113/M04.2.jpg,"La Fanzinoteca es un proyecto impulsado por Ricardo Duque i Lluc Mayol que se articula a partir de un archivo de fanzines, hand-made books y otras ediciones de difícil clasificación con el objetivo de difundir este tipo de publicaciones y promover un espacio de práctica, estudio y reflexión sobre las mismas.  Ellos definen La Fanzinoteca como un proyecto que se alimenta de la contingencia, de aprovechar aquello que se encuentra en el camino.



«Siempre hemos sido conscientes de que nuestro proyecto se nutre de un material altamente sensible que se produce en los márgenes, un material que en muchos casos no ha sido producido con el museo como destino ni con la idea de pasar por él. Esto genera una tensión que no queremos eludir. Nuestra intención no es la de legitimar este tipo de publicaciones haciéndolas pasar por instituciones como el MACBA, sino precisamente situarnos en esta tensión, poniendo en cuestión tanto los contenidos de nuestro fondo de ediciones como los relatos que se consolidan desde el museo. La propuesta de trabajar sobre las exposiciones de Miserachs nos ofrece claramente dos puntos por los cuales creemos que tiene mucho sentido atravesarlas desde algunos de los intereses de La Fanzinoteca: el archivo y el fotolibro.»

 

Con este punto de partida se realizarán dos talleres-charla (que producirán una publicación) y, más adelante, un Tagging Day (evento de catalogación colectiva de fanzines). Los talleres-charla se basarán en la invitación a cuatro personas (o colectivos) a que construyan un breve relato a partir de una selección de ejemplares de nuestro fondo. Cada sesión empezará con una breve introducción a cargo de La Fanzinoteca, seguida de la presentación de dos invitados y/o invitadas con una intervención de aproximadamente veinte minutos (que podrá ser presencial o por videoconferencia), para desembocar en una sesión de jamzine (producción exprés de una publicación gráfica colectiva).



Una selección de los materiales producidos en los jamzines, junto con los breves ensayos de los invitados y/o invitadas, serán editados en la publicación que esperamos presentar en la tercera propuesta de esta serie: un Tagging Day en el que las personas asistentes podrán hacer una inmersión práctica, con ejemplares no catalogados de nuestro fondo, en el sistema de catalogación online de fanzines ideado por La Fanzinoteca.",11 feb.,26 feb. 2016,Espai Taller  MACBA,,http://www.macba.cat/es/autoedicion-anarchivo-fotozines/1/actividades/activ,null,null,null,null,/es/autoedicion-anarchivo-fotozines/1/actividades/activ
Los asistentes se dirigen en fila india hacia el lugar que sirve de escenario,Taller de performance a cargo de Laia Estruch,http://www.macba.cat/uploads/20150812/27.4.jpg,"Este taller se inscribe en el marco de la performance. En él se articulan estrategias para hacer audibles, a través de la voz, contenidos textuales o gráficos procedentes de archivos para crear nuevos contenidos, a partir de la composición de partituras y la grabación del sonido que se genera al oralizarlos. Se dará vida a una selección de manuscritos del Fondo Joan Brossa en el Archivo del MACBA y se crearán partituras que nos ayudarán a sonorizar y hacer audibles hoy las palabras de Joan Brossa, a través de las anotaciones y las voces de los participantes.",19 feb. 2016,null,Espai Taller  MACBA,,http://www.macba.cat/es/taller-laia-estruch/1/actividades/activ,null,null,null,null,/es/taller-laia-estruch/1/actividades/activ
Indisposición general. Ensayo sobre la fatiga,"Con Santiago López Petit, Chantal Maillard, Javier Peñafiel y Martí Peran",http://www.macba.cat/uploads/20160203/Erick_BeltrnOn.2.jpg,"La irreversible crisis institucional y la transformación de las formas del trabajo han desembocado en el predicado Do it yourself: hazlo por ti mismo y para ti mismo. En el marco de esta nueva consigna de producción, el sujeto se ha confundido con la hiperactividad de su autoexplotación. El resultado es una fatiga creciente, una indisposición que se generaliza a diario. En esta tesitura, el reto que nos incumbe ya no consiste en restablecernos como pretende la ideología Do it, sino en explorar las posibilidades de un derecho de fatiga que nos mantenga separados del programa. En el interior mismo de nuestra intensidad de fatiga es imprescindible hallar las posibles fugas de una extraña redención: desaparecer en lo común, suspender el hacer y elucubrar la muerte. Con estos argumentos el libro de Martí Peran Indisposición general. Ensayo sobre la fatiga propone una nueva aproximación al análisis del capitalismo como ambiente patógeno.



Colaboran: Editorial Hiru y Fabra i Coats. Centre d’Art Contemporani de Barcelona",22 feb. 2016,null,Auditori Meier,,http://www.macba.cat/es/presentacion-indisposicion-general/1/actividades/activ,null,null,null,null,/es/presentacion-indisposicion-general/1/actividades/activ
Alfredo Costa Monteiro,MACBA se vive,http://www.macba.cat/uploads/20160113/costa_monteiro.2.jpg,"El trabajo de Costa Monteiro se sitúa entre las artes visuales, la poesía visual y el sonido. Sus instalaciones y piezas sonoras, todas de carácter low-fi, comparten el interés por los procesos inestables, las materias primas y los gestos. La manipulación de objetos como instrumentos o de instrumentos como objetos les confiere un marcado acento fenomenológico.



Alfredo Costa Monteiro estudia escultura e instalación en la escuela de Bellas Artes de París con Christian Boltanski. En 1992 se instala en Barcelona. Ha sido miembro del colectivo por el arte contemporáneo Espai 22a (1998-2006) y del colectivo de improvisación IBA (2001-2006). En el ámbito de la poesía sonora, presenta piezas políglotas y de ruido (en portugués, francés y español), en las que el sonido establece semánticas diferentes. Entre sus proyectos en curso destacan Cremaster (con Ferran Fages), I treni inerti (con Ruth Barberán), Atolón (con Ferran Fages y Ruth Barberán), Astero (con Juan Matos Capote), 300 Basses (con Jonas Kocher y Luca Venitucci) y dúos con Pascal Battus, Tim Olive y Michel Doneda.



Más información:	

http://www.costamonteiro.net/",20 feb. 2016,null,MACBA,,http://www.macba.cat/es/alfredo-costa-monteiro/1/actividades/activ,null,null,null,null,/es/alfredo-costa-monteiro/1/actividades/activ
The Museum is Closed,Espai Colona,http://www.macba.cat/uploads/20160113/espai_coloma.4.jpg,"Un martes al mes, cuando el museo permanece cerrado, se abre el taller del MACBA para escuchar proyectos de artistas, colectivos y comisarios con la única intención de dialogar y crear complicidades y retornos entre los asistentes. Cada martes estará liderado por un proyecto e invitados diferentes, un programa que reproduce procesos de trabajo comunes en las prácticas artísticas de colectivos independientes. En esta ocasión contaremos con la aportación de Espai Colona.

	

Promovido por los chilenos Andrés Vial y Rosario Ateaga, Espai Colona es un colectivo de artistas que se centran en la colonización de espacios domésticos determinados por la no pertenencia al lugar geográfico donde se establecen –en la actualidad, Barcelona–, mientras se intenta interrumpir la epistemología o el origen de la palabra.",16 feb. 2016,null,Espai Taller  MACBA,,http://www.macba.cat/es/espai-colona-the-museum-is-closed/1/actividades/activ,null,null,null,null,/es/espai-colona-the-museum-is-closed/1/actividades/activ
Historias secretas de un habitáculo,A cargo de Ariadna Parreu. Actividad recomendada para niños y niñas a partir de 6 años,http://www.macba.cat/uploads/20151223/rep_especies_espais_2015_018.1.jpg,"En esta visita-taller invitamos a las familias a acercarse al museo como quien entra en una casa. Una casa con habitaciones, ventanas, sonidos y sofás, por la que pasearemos buscando las historias que oculta. A partir de nuestra experiencia ocuparemos un espacio en blanco proyectando en él nuestra realidad cotidiana y también imaginaria, y así construiremos un lugar común, ideal y fantástico, entre el dibujo, la instalación y la performance.",06 feb.,28 feb. 2016,MACBA,,http://www.macba.cat/es/historias-secretas-habitaculo/1/actividades/activ,null,null,null,null,/es/historias-secretas-habitaculo/1/actividades/activ
"Yes we walk, yes we sit",MACBA se vive,http://www.macba.cat/uploads/20160128/imatge_yes_we_walk_yes_we_sit.4.jpg,"Dibujar un punto, vagar. Habitar un topónimo, caminar. Perseguir huellas, orientarse.



Reconocer un lugar.



Activamos el espacio atravesándolo, y de pronto ya no es el mismo. La Arquitectura nos obliga a jugar con sus volúmenes. Juguemos, pues, seriamente, transformemos, saboteemos y cambiemos radicalmente las perspectivas. Inventemos nuevos espacios donde el cuerpo es el protagonista. Que la estructura se adapte a nosotros: camina y acciona. Yes we walk, yes we sit.



Ficha técnica:

Coreografía: Xavier Manubens

Videografía: Teresa Manubens

Mirada externa: Idoia Zabaleta, Emilio Tomé

Producción: Manubens i enxufats

Duración: 30 minutos



Con el apoyo de: Escola Industrial Sabadell. Institut del Teatre de Barcelona. MA en pràctica escènica i cultura visual

Accionistas: María Mendoza, Verónica Navas, Barbara Cappi

Agradecimientos: Museo Nacional Centro de Arte Reina Sofía, Azala Kreazio Espazioa, Roger Bernat, Mostra In Situ, Dt Espacio Escénico, Jaime Urciuoli, Semíramis en Babilonia.",13 feb. 2016,null,MACBA,,http://www.macba.cat/es/muestra-in-situ/1/actividades/activ,null,null,null,null,/es/muestra-in-situ/1/actividades/activ
Nos encontramos más allá,Actividad recomendada para niños y niñas de 1 a 5 años,http://www.macba.cat/uploads/20160127/MACBA_Experimentem_amb_Art_72dpi_058.4.jpg,"¿Qué tienen en común el cuerpo humano, los ríos, los edificios y las ciudades? Seguramente muchas cosas... Por ejemplo, un entramado de conexiones, a veces visibles, a veces invisibles, que les dan vida y forma. Como un circuito complejo que se dibuja en el espacio, con distintos recorridos que se expanden en todas direcciones pero que tienen unas funcionalidades concretas. ¿Cuáles? ¿Las investigamos juntos?



Taller familiar a cargo de Experimentem amb l’Art.",09 abr.,28 mayo 2016,Espai Taller  MACBA,,http://www.macba.cat/es/nos-encontramos-mas-alla/1/actividades/activ,null,null,null,null,/es/nos-encontramos-mas-alla/1/actividades/activ
Hidrogenesse: recital de Roma,MACBA se vive,http://www.macba.cat/uploads/20160113/foto_Alicia_Aguilera.4.jpg,"Roma es el disco que Hidrogenesse comenzó a componer después de publicar Bestiola, allá por 2009. «La idea era hacer un homenaje a las ruinas y los restos arqueológicos, a todas las cosas viejas, y cuanto más viejas mejor. Porque cuanto más duran las cosas, más nos gustan. Frente a todo lo joven, lo nuevo o lo efímero, queríamos reivindicar lo viejo, y demostrar que las antigüedades no tienen por qué ser solamente algo evocador y solemne; también pueden resultar entretenidas y muy divertidas.» 



El disco se terminó en el verano de 2014, después de pasar una semana en la Real Academia de España en Roma. Allí se le dio forma con un piano, sin instrumentos electrónicos. El último día de su estancia en la Academia, Hidrogenesse lo presentó en un recital en abierto. Ahora, gracias al piano que tendremos en el museo con motivo del concurso Maria Canals, les hemos invitado a repetir la experiencia en el MACBA.

		

Actividad organizada en colaboración con el Concurso Internacional de Piano Maria Canals de Barcelona: www.mariacanals.cat.	



Más información:	

http://www.austrohungaro.com/hidrogenesse/roma/",27 feb. 2016,null,MACBA,,http://www.macba.cat/es/hidrogenesse-recital-de-roma/1/actividades/activ,null,null,null,null,/es/hidrogenesse-recital-de-roma/1/actividades/activ
